feature,coefficient,abs_coefficient,category
step1_success_of_existing_bans,1.2607414608993692,1.2607414608993692,Content Position
step2_success_of_existing_bans,0.9684889782855322,0.9684889782855322,Content Position
content_success_of_existing_bans_then_success_of_existing_bans_s2s3,-0.8495178486857128,0.8495178486857128,Content Chains (len-2)
step3_success_of_existing_bans,0.8486977311026409,0.8486977311026409,Content Position
step1_exemplification,0.5633672452746842,0.5633672452746842,Structure Position
argument_length,0.5468708913584728,0.5468708913584728,Other
step1_recycling_system_failure,-0.4990778444597572,0.4990778444597572,Content Position
step3_evidence_and_authority_x_success_of_existing_bans,0.4915731618322402,0.4915731618322402,Position Interactions
step3_evidence_and_authority_x_availability_of_alternatives,0.4868470260302255,0.4868470260302255,Position Interactions
step1_conditional_x_marine_ecosystem_destruction,-0.47613036744055703,0.47613036744055703,Position Interactions
step3_availability_of_alternatives,0.47521105113913614,0.47521105113913614,Content Position
content_availability_of_alternatives_then_availability_of_alternatives_s2s3,-0.47164035507595214,0.47164035507595214,Content Chains (len-2)
step1_addition_and_elaboration_x_availability_of_alternatives,0.42375798372503065,0.42375798372503065,Position Interactions
step1_clarification_and_specification,0.4102301460956696,0.4102301460956696,Structure Position
step1_availability_of_alternatives,0.4080252189007263,0.4080252189007263,Content Position
step1_clarification_and_specification_x_recycling_system_failure,0.40466100856954373,0.40466100856954373,Position Interactions
step2_conditional_x_success_of_existing_bans,-0.4030653509268734,0.4030653509268734,Position Interactions
step1_exemplification_x_recycling_system_failure,0.3934692460692158,0.3934692460692158,Position Interactions
content_carbon_footprint_and_climate_then_marine_ecosystem_destruction_s2s3,-0.3828527704139573,0.3828527704139573,Content Chains (len-2)
step1_causal_reasoning_x_marine_ecosystem_destruction,-0.36252589035037247,0.36252589035037247,Position Interactions
struct_sequence_and_transition_then_conclusion_and_summary_s1s2,-0.3357244260323675,0.3357244260323675,Structure Chains (len-2)
step2_availability_of_alternatives,0.33405457616141354,0.33405457616141354,Content Position
content_economic_externalities_then_economic_externalities_s2s3,-0.3235716964955836,0.3235716964955836,Content Chains (len-2)
struct_causal_reasoning_then_causal_reasoning_s1s2,-0.3106146546990324,0.3106146546990324,Structure Chains (len-2)
step3_addition_and_elaboration,0.3074601351368432,0.3074601351368432,Structure Position
step1_causal_reasoning_x_intergenerational_responsibility,-0.30455841769796754,0.30455841769796754,Position Interactions
step3_causal_reasoning_x_marine_ecosystem_destruction,-0.2990995718332126,0.2990995718332126,Position Interactions
step1_conditional_x_recycling_system_failure,0.2919836440631358,0.2919836440631358,Position Interactions
content_marine_ecosystem_destruction_then_recycling_system_failure_s1s2,-0.28260348549828607,0.28260348549828607,Content Chains (len-2)
step3_emphasis_and_evaluation,0.28002757325585687,0.28002757325585687,Structure Position
struct_evidence_and_authority_then_conclusion_and_summary_s2s3,0.2777192348418477,0.2777192348418477,Structure Chains (len-2)
step2_clarification_and_specification_x_intergenerational_responsibility,-0.27587842565578885,0.27587842565578885,Position Interactions
content_global_waste_trade_injustice_then_recycling_system_failure_s1s2,0.275494150133021,0.275494150133021,Content Chains (len-2)
struct_conditional_then_emphasis_and_evaluation_s1s2,0.2735049627677027,0.2735049627677027,Structure Chains (len-2)
step3_intergenerational_responsibility,-0.26146709075376356,0.26146709075376356,Content Position
struct_clarification_and_specification_then_sequence_and_transition_s1s2,0.25916288827191475,0.25916288827191475,Structure Chains (len-2)
step2_conclusion_and_summary_x_success_of_existing_bans,0.24928191702350438,0.24928191702350438,Position Interactions
struct_conditional_then_conditional_s1s2,-0.24823603013173373,0.24823603013173373,Structure Chains (len-2)
content_recycling_system_failure_then_recycling_system_failure_s1s2,-0.24103502887998807,0.24103502887998807,Content Chains (len-2)
content_success_of_existing_bans_then_recycling_system_failure_s2s3,0.23961155999449857,0.23961155999449857,Content Chains (len-2)
step2_clarification_and_specification_x_economic_externalities,-0.23375072073722775,0.23375072073722775,Position Interactions
content_carbon_footprint_and_climate_then_global_waste_trade_injustice_s2s3,-0.23106387043320922,0.23106387043320922,Content Chains (len-2)
struct_concession_and_contrast_then_causal_reasoning_s2s3,-0.22849720419957562,0.22849720419957562,Structure Chains (len-2)
