feature,coefficient,abs_coefficient,category
step2_success_of_existing_bans,0.9036006651570764,0.9036006651570764,Content Position
step3_success_of_existing_bans,0.8561791121894264,0.8561791121894264,Content Position
content_success_of_existing_bans_then_success_of_existing_bans_s2s3,-0.7330587672482854,0.7330587672482854,Content Chains (len-2)
content_carbon_footprint_and_climate_then_marine_ecosystem_destruction_s2s3,-0.5684753514920656,0.5684753514920656,Content Chains (len-2)
argument_length,0.5551919878878101,0.5551919878878101,Other
content_availability_of_alternatives_then_microplastics_and_human_health_s1s2,-0.5483943500447135,0.5483943500447135,Content Chains (len-2)
step3_intergenerational_responsibility,-0.525238089646202,0.525238089646202,Content Position
content_global_waste_trade_injustice_then_availability_of_alternatives_s1s2,0.4979401907243697,0.4979401907243697,Content Chains (len-2)
content_recycling_system_failure_then_marine_ecosystem_destruction_s1s2,-0.39138106122728306,0.39138106122728306,Content Chains (len-2)
content_availability_of_alternatives_then_availability_of_alternatives_s2s3,-0.3881973590309345,0.3881973590309345,Content Chains (len-2)
content_availability_of_alternatives_then_availability_of_alternatives_s1s2,-0.3465743356518123,0.3465743356518123,Content Chains (len-2)
content_carbon_footprint_and_climate_then_carbon_footprint_and_climate_s2s3,-0.33963172612029074,0.33963172612029074,Content Chains (len-2)
step2_economic_externalities,0.33536152679960696,0.33536152679960696,Content Position
step3_conclusion_and_summary_x_marine_ecosystem_destruction,-0.30071245523868206,0.30071245523868206,Position Interactions
content_microplastics_and_human_health_then_availability_of_alternatives_s2s3,0.29747262470024394,0.29747262470024394,Content Chains (len-2)
step3_conditional_x_success_of_existing_bans,-0.27759444740449435,0.27759444740449435,Position Interactions
content_recycling_system_failure_then_availability_of_alternatives_s1s2,0.2762551924187,0.2762551924187,Content Chains (len-2)
content_recycling_system_failure_then_microplastics_and_human_health_s1s2,0.27119088925323637,0.27119088925323637,Content Chains (len-2)
step1_availability_of_alternatives,0.24057304592561457,0.24057304592561457,Content Position
step1_conditional_x_marine_ecosystem_destruction,-0.23751819485972517,0.23751819485972517,Position Interactions
step3_economic_externalities,0.22766508043662093,0.22766508043662093,Content Position
content_intergenerational_responsibility_then_availability_of_alternatives_s2s3,-0.22375764409575627,0.22375764409575627,Content Chains (len-2)
content_economic_externalities_then_availability_of_alternatives_s1s2,0.21531506055427307,0.21531506055427307,Content Chains (len-2)
step1_global_waste_trade_injustice,0.2148573987957039,0.2148573987957039,Content Position
content_carbon_footprint_and_climate_then_corporate_behavior_and_voluntary_failure_s2s3,-0.20629050443887503,0.20629050443887503,Content Chains (len-2)
step2_sequence_and_transition_x_intergenerational_responsibility,-0.2038968052917302,0.2038968052917302,Position Interactions
content_availability_of_alternatives_then_marine_ecosystem_destruction_s1s2,-0.1916728578916907,0.1916728578916907,Content Chains (len-2)
step2_sequence_and_transition_x_recycling_system_failure,0.19162212379808874,0.19162212379808874,Position Interactions
step1_addition_and_elaboration,0.19018034460717087,0.19018034460717087,Structure Position
struct_clarification_and_specification_then_causal_reasoning_s1s2,0.1693121513162801,0.1693121513162801,Structure Chains (len-2)
content_corporate_behavior_and_voluntary_failure_then_carbon_footprint_and_climate_s2s3,-0.16891896577060658,0.16891896577060658,Content Chains (len-2)
content_marine_ecosystem_destruction_then_intergenerational_responsibility_s2s3,-0.16867479927690068,0.16867479927690068,Content Chains (len-2)
step1_intergenerational_responsibility,-0.16599289682555063,0.16599289682555063,Content Position
struct_conditional_then_conditional_s2s3,-0.16503708096058606,0.16503708096058606,Structure Chains (len-2)
struct_conditional_then_conditional_s1s2,-0.16166774967665348,0.16166774967665348,Structure Chains (len-2)
step1_conclusion_and_summary_x_intergenerational_responsibility,-0.1575534280248853,0.1575534280248853,Position Interactions
content_marine_ecosystem_destruction_then_global_waste_trade_injustice_s2s3,0.155096644490356,0.155096644490356,Content Chains (len-2)
step3_causal_reasoning_x_success_of_existing_bans,0.14942251577498245,0.14942251577498245,Position Interactions
content_marine_ecosystem_destruction_then_intergenerational_responsibility_s1s2,-0.1484072760996022,0.1484072760996022,Content Chains (len-2)
content_marine_ecosystem_destruction_then_carbon_footprint_and_climate_s1s2,-0.1470628839767526,0.1470628839767526,Content Chains (len-2)
step2_recycling_system_failure,0.14690306010718457,0.14690306010718457,Content Position
step3_addition_and_elaboration_x_microplastics_and_human_health,-0.14596791071097126,0.14596791071097126,Position Interactions
step3_emphasis_and_evaluation_x_economic_externalities,0.14099325493177325,0.14099325493177325,Position Interactions
step3_addition_and_elaboration_x_economic_externalities,0.14065181929139378,0.14065181929139378,Position Interactions
struct_conditional_then_evidence_and_authority_s1s2,0.14047300094672704,0.14047300094672704,Structure Chains (len-2)
step3_carbon_footprint_and_climate,-0.13579191979677632,0.13579191979677632,Content Position
content_availability_of_alternatives_then_success_of_existing_bans_s1s2,0.13575647388616005,0.13575647388616005,Content Chains (len-2)
step3_addition_and_elaboration_x_global_waste_trade_injustice,0.13557954749766202,0.13557954749766202,Position Interactions
struct_conditional_then_clarification_and_specification_s2s3,-0.13504650381457525,0.13504650381457525,Structure Chains (len-2)
step3_conclusion_and_summary_x_corporate_behavior_and_voluntary_failure,0.13124811468444644,0.13124811468444644,Position Interactions
step3_availability_of_alternatives,0.12671781083541905,0.12671781083541905,Content Position
step3_conditional,-0.11759892365476943,0.11759892365476943,Structure Position
step2_conclusion_and_summary_x_marine_ecosystem_destruction,-0.11643371947224586,0.11643371947224586,Position Interactions
step3_microplastics_and_human_health,0.11368878010670465,0.11368878010670465,Content Position
step2_addition_and_elaboration_x_carbon_footprint_and_climate,0.11301987904721757,0.11301987904721757,Position Interactions
struct_clarification_and_specification_then_clarification_and_specification_s2s3,-0.11271278997371884,0.11271278997371884,Structure Chains (len-2)
content_marine_ecosystem_destruction_then_availability_of_alternatives_s2s3,-0.10993826159029628,0.10993826159029628,Content Chains (len-2)
struct_causal_reasoning_then_conclusion_and_summary_s2s3,-0.10885823765030768,0.10885823765030768,Structure Chains (len-2)
step3_conclusion_and_summary_x_availability_of_alternatives,-0.1087775115523256,0.1087775115523256,Position Interactions
content_availability_of_alternatives_then_economic_externalities_s2s3,0.10815559670757185,0.10815559670757185,Content Chains (len-2)
content_carbon_footprint_and_climate_then_recycling_system_failure_s2s3,0.10444330664767457,0.10444330664767457,Content Chains (len-2)
step3_recycling_system_failure,0.10220586283440229,0.10220586283440229,Content Position
step2_conclusion_and_summary_x_microplastics_and_human_health,0.10135621236908748,0.10135621236908748,Position Interactions
content_global_waste_trade_injustice_then_carbon_footprint_and_climate_s1s2,0.0987910683237642,0.0987910683237642,Content Chains (len-2)
content_marine_ecosystem_destruction_then_microplastics_and_human_health_s1s2,0.09800667312427756,0.09800667312427756,Content Chains (len-2)
step2_conclusion_and_summary_x_carbon_footprint_and_climate,0.09555762099796725,0.09555762099796725,Position Interactions
content_carbon_footprint_and_climate_then_availability_of_alternatives_s2s3,0.09340996602839194,0.09340996602839194,Content Chains (len-2)
step2_availability_of_alternatives,0.09074912078581279,0.09074912078581279,Content Position
step3_addition_and_elaboration_x_intergenerational_responsibility,-0.09017620419138703,0.09017620419138703,Position Interactions
