feature,coefficient,abs_coefficient,category
content_healthcare_cost_externalities_then_food_equity_and_access_s2s3,0.5305089426081881,0.5305089426081881,Content Chains (len-2)
step1_effectiveness_of_pigouvian_taxes,0.5300440636090974,0.5300440636090974,Content Position
argument_length,0.49526474686739186,0.49526474686739186,Other
step1_land_and_water_resource_use,0.3929894353752261,0.3929894353752261,Content Position
content_effectiveness_of_pigouvian_taxes_then_food_equity_and_access_s2s3,0.39244557870825675,0.39244557870825675,Content Chains (len-2)
step2_conditional_x_greenhouse_gas_emissions,-0.3811623230159715,0.3811623230159715,Position Interactions
step3_effectiveness_of_pigouvian_taxes,0.37050852043723903,0.37050852043723903,Content Position
step1_sequence_and_transition_x_greenhouse_gas_emissions,-0.3581316508977821,0.3581316508977821,Position Interactions
content_public_health_outcomes_then_greenhouse_gas_emissions_s2s3,-0.34473551225613425,0.34473551225613425,Content Chains (len-2)
step2_evidence_and_authority_x_international_policy_precedents,0.33391419448384574,0.33391419448384574,Position Interactions
content_public_health_outcomes_then_international_policy_precedents_s2s3,0.32440263606606307,0.32440263606606307,Content Chains (len-2)
content_alternative_protein_innovation_then_alternative_protein_innovation_s2s3,-0.3110254307447353,0.3110254307447353,Content Chains (len-2)
step3_public_health_outcomes,0.2856944396235393,0.2856944396235393,Content Position
content_greenhouse_gas_emissions_then_land_and_water_resource_use_s1s2,-0.2820659678685364,0.2820659678685364,Content Chains (len-2)
step1_addition_and_elaboration_x_animal_welfare_ethics,-0.2772762730205601,0.2772762730205601,Position Interactions
content_land_and_water_resource_use_then_alternative_protein_innovation_s2s3,-0.27136546236244913,0.27136546236244913,Content Chains (len-2)
step2_conclusion_and_summary_x_land_and_water_resource_use,-0.26704602156773355,0.26704602156773355,Position Interactions
content_land_and_water_resource_use_then_greenhouse_gas_emissions_s1s2,-0.26616123277698167,0.26616123277698167,Content Chains (len-2)
content_healthcare_cost_externalities_then_public_health_outcomes_s2s3,-0.2614317366405854,0.2614317366405854,Content Chains (len-2)
content_animal_welfare_ethics_then_healthcare_cost_externalities_s2s3,0.25076799448011505,0.25076799448011505,Content Chains (len-2)
content_greenhouse_gas_emissions_then_alternative_protein_innovation_s2s3,-0.24193286580358533,0.24193286580358533,Content Chains (len-2)
step1_agricultural_subsidy_reform,0.22832798434701335,0.22832798434701335,Content Position
