feature,coefficient,abs_coefficient,category
argument_length,0.7368031512615754,0.7368031512615754,Other
step1_sequence_and_transition_x_land_and_water_resource_use,0.3535577165200215,0.3535577165200215,Position Interactions
struct_conclusion_and_summary_then_exemplification_s2s3,0.3327059263270117,0.3327059263270117,Structure Chains (len-2)
step3_conclusion_and_summary,-0.3081009848633639,0.3081009848633639,Structure Position
struct_conditional_then_conditional_s1s2,-0.2969576625495099,0.2969576625495099,Structure Chains (len-2)
step3_causal_reasoning_x_international_policy_precedents,-0.2822256550681275,0.2822256550681275,Position Interactions
struct_evidence_and_authority_then_conclusion_and_summary_s2s3,0.27495823302400385,0.27495823302400385,Structure Chains (len-2)
step1_conditional_x_agricultural_subsidy_reform,0.26924302664843963,0.26924302664843963,Position Interactions
content_effectiveness_of_pigouvian_taxes_then_international_policy_precedents_s2s3,-0.24486237033596753,0.24486237033596753,Content Chains (len-2)
step3_evidence_and_authority_x_greenhouse_gas_emissions,-0.2394775646804622,0.2394775646804622,Position Interactions
struct_evidence_and_authority_then_causal_reasoning_s2s3,0.2343720916434272,0.2343720916434272,Structure Chains (len-2)
step2_addition_and_elaboration_x_food_equity_and_access,-0.23399276529312413,0.23399276529312413,Position Interactions
step3_international_policy_precedents,0.22742671577336435,0.22742671577336435,Content Position
step3_concession_and_contrast_x_agricultural_subsidy_reform,-0.21823674745972743,0.21823674745972743,Position Interactions
struct_causal_reasoning_then_conclusion_and_summary_s2s3,-0.2136078397097451,0.2136078397097451,Structure Chains (len-2)
content_alternative_protein_innovation_then_alternative_protein_innovation_s2s3,0.21262344486465007,0.21262344486465007,Content Chains (len-2)
step3_conclusion_and_summary_x_agricultural_subsidy_reform,0.20969836760950494,0.20969836760950494,Position Interactions
step3_food_equity_and_access,0.19055778774337967,0.19055778774337967,Content Position
step2_conclusion_and_summary_x_public_health_outcomes,0.1880664966093575,0.1880664966093575,Position Interactions
struct_conditional_then_sequence_and_transition_s1s2,0.1679594230146047,0.1679594230146047,Structure Chains (len-2)
struct_clarification_and_specification_then_conclusion_and_summary_s2s3,-0.16700185377126317,0.16700185377126317,Structure Chains (len-2)
content_agricultural_subsidy_reform_then_healthcare_cost_externalities_s2s3,0.1664903379751408,0.1664903379751408,Content Chains (len-2)
step3_causal_reasoning_x_land_and_water_resource_use,-0.16352707322970322,0.16352707322970322,Position Interactions
step3_addition_and_elaboration_x_alternative_protein_innovation,0.1612844781398816,0.1612844781398816,Position Interactions
step3_conclusion_and_summary_x_healthcare_cost_externalities,0.156629160478049,0.156629160478049,Position Interactions
step3_concession_and_contrast,-0.15380612884621148,0.15380612884621148,Structure Position
struct_conclusion_and_summary_then_clarification_and_specification_s2s3,-0.14821726154040976,0.14821726154040976,Structure Chains (len-2)
step2_concession_and_contrast,-0.14553188358891941,0.14553188358891941,Structure Position
step1_conditional_x_land_and_water_resource_use,-0.1364474791369875,0.1364474791369875,Position Interactions
step3_clarification_and_specification_x_greenhouse_gas_emissions,-0.13618307138656793,0.13618307138656793,Position Interactions
step3_conclusion_and_summary_x_food_equity_and_access,-0.13308882950007875,0.13308882950007875,Position Interactions
struct_concession_and_contrast_then_conclusion_and_summary_s2s3,-0.13086502673749098,0.13086502673749098,Structure Chains (len-2)
step3_animal_welfare_ethics,-0.1260922260942534,0.1260922260942534,Content Position
content_effectiveness_of_pigouvian_taxes_then_food_equity_and_access_s2s3,0.11954868182335109,0.11954868182335109,Content Chains (len-2)
step2_conclusion_and_summary_x_land_and_water_resource_use,-0.11939085281148688,0.11939085281148688,Position Interactions
content_agricultural_subsidy_reform_then_greenhouse_gas_emissions_s1s2,-0.1193195517806521,0.1193195517806521,Content Chains (len-2)
struct_addition_and_elaboration_then_causal_reasoning_s2s3,0.11631537556782,0.11631537556782,Structure Chains (len-2)
content_agricultural_subsidy_reform_then_international_policy_precedents_s2s3,0.1156942947809556,0.1156942947809556,Content Chains (len-2)
step2_conclusion_and_summary,-0.1141142987290189,0.1141142987290189,Structure Position
content_land_and_water_resource_use_then_greenhouse_gas_emissions_s1s2,-0.11371683785584542,0.11371683785584542,Content Chains (len-2)
struct_addition_and_elaboration_then_conditional_s2s3,-0.11184414987085174,0.11184414987085174,Structure Chains (len-2)
content_public_health_outcomes_then_public_health_outcomes_s2s3,0.11106408886877268,0.11106408886877268,Content Chains (len-2)
struct_conditional_then_conclusion_and_summary_s2s3,-0.10952265828221676,0.10952265828221676,Structure Chains (len-2)
content_greenhouse_gas_emissions_then_public_health_outcomes_s2s3,-0.10855592350703984,0.10855592350703984,Content Chains (len-2)
step3_clarification_and_specification_x_food_equity_and_access,-0.10843684916186284,0.10843684916186284,Position Interactions
step2_sequence_and_transition_x_international_policy_precedents,0.10721051670222946,0.10721051670222946,Position Interactions
struct_conclusion_and_summary_then_emphasis_and_evaluation_s2s3,0.10620549319971247,0.10620549319971247,Structure Chains (len-2)
content_greenhouse_gas_emissions_then_effectiveness_of_pigouvian_taxes_s2s3,0.10585236918387311,0.10585236918387311,Content Chains (len-2)
content_greenhouse_gas_emissions_then_agricultural_subsidy_reform_s2s3,-0.10123491464071346,0.10123491464071346,Content Chains (len-2)
step3_causal_reasoning_x_effectiveness_of_pigouvian_taxes,-0.09900023692462478,0.09900023692462478,Position Interactions
struct_addition_and_elaboration_then_conclusion_and_summary_s2s3,0.09516547564905627,0.09516547564905627,Structure Chains (len-2)
step3_addition_and_elaboration,0.09384759236854594,0.09384759236854594,Structure Position
content_land_and_water_resource_use_then_land_and_water_resource_use_s1s2,0.09373804070487401,0.09373804070487401,Content Chains (len-2)
step2_effectiveness_of_pigouvian_taxes,0.09226361621962981,0.09226361621962981,Content Position
struct_conditional_then_addition_and_elaboration_s1s2,0.09065223739523152,0.09065223739523152,Structure Chains (len-2)
step2_causal_reasoning_x_international_policy_precedents,-0.08991197981105019,0.08991197981105019,Position Interactions
step3_conditional,-0.08971283566495653,0.08971283566495653,Structure Position
step3_conclusion_and_summary_x_international_policy_precedents,-0.08852497324636044,0.08852497324636044,Position Interactions
content_alternative_protein_innovation_then_food_equity_and_access_s2s3,-0.08847057640041146,0.08847057640041146,Content Chains (len-2)
step3_emphasis_and_evaluation,0.08614392677453371,0.08614392677453371,Structure Position
content_food_equity_and_access_then_greenhouse_gas_emissions_s2s3,-0.08564897582849318,0.08564897582849318,Content Chains (len-2)
step2_emphasis_and_evaluation,0.08388108828806355,0.08388108828806355,Structure Position
step2_addition_and_elaboration,0.08231334732518368,0.08231334732518368,Structure Position
content_land_and_water_resource_use_then_healthcare_cost_externalities_s1s2,0.08075866877516914,0.08075866877516914,Content Chains (len-2)
step3_conclusion_and_summary_x_effectiveness_of_pigouvian_taxes,0.07656606012173175,0.07656606012173175,Position Interactions
content_land_and_water_resource_use_then_alternative_protein_innovation_s2s3,0.07618170861052496,0.07618170861052496,Content Chains (len-2)
step3_public_health_outcomes,0.0753772632977301,0.0753772632977301,Content Position
content_agricultural_subsidy_reform_then_effectiveness_of_pigouvian_taxes_s1s2,0.07475375123467663,0.07475375123467663,Content Chains (len-2)
step2_conclusion_and_summary_x_animal_welfare_ethics,0.07329803806068923,0.07329803806068923,Position Interactions
step1_sequence_and_transition,0.06945475937035546,0.06945475937035546,Structure Position
struct_conclusion_and_summary_then_causal_reasoning_s2s3,-0.06884823385559694,0.06884823385559694,Structure Chains (len-2)
content_effectiveness_of_pigouvian_taxes_then_land_and_water_resource_use_s2s3,0.06784725959623791,0.06784725959623791,Content Chains (len-2)
step2_evidence_and_authority_x_international_policy_precedents,0.066975035987432,0.066975035987432,Position Interactions
struct_conditional_then_causal_reasoning_s2s3,-0.0662678158148847,0.0662678158148847,Structure Chains (len-2)
step3_effectiveness_of_pigouvian_taxes,0.06545043232996729,0.06545043232996729,Content Position
content_greenhouse_gas_emissions_then_healthcare_cost_externalities_s2s3,-0.06468003967464649,0.06468003967464649,Content Chains (len-2)
step2_conclusion_and_summary_x_agricultural_subsidy_reform,-0.06402858254173165,0.06402858254173165,Position Interactions
step3_addition_and_elaboration_x_greenhouse_gas_emissions,-0.06398927096559226,0.06398927096559226,Position Interactions
step3_clarification_and_specification,-0.06368754855655318,0.06368754855655318,Structure Position
