feature,coefficient,abs_coefficient,category
argument_length,0.5959673106251909,0.5959673106251909,Other
step1_land_and_water_resource_use,0.5443304086505187,0.5443304086505187,Content Position
content_alternative_protein_innovation_then_alternative_protein_innovation_s2s3,-0.4069555868938614,0.4069555868938614,Content Chains (len-2)
content_agricultural_subsidy_reform_then_effectiveness_of_pigouvian_taxes_s1s2,0.38071131540710623,0.38071131540710623,Content Chains (len-2)
step1_concession_and_contrast,-0.36219765537328014,0.36219765537328014,Structure Position
step3_public_health_outcomes,0.3442838431667371,0.3442838431667371,Content Position
step3_exemplification_x_effectiveness_of_pigouvian_taxes,0.3317599287183189,0.3317599287183189,Position Interactions
content_healthcare_cost_externalities_then_land_and_water_resource_use_s2s3,-0.30689107120231485,0.30689107120231485,Content Chains (len-2)
step3_effectiveness_of_pigouvian_taxes,0.3030087842103772,0.3030087842103772,Content Position
step2_effectiveness_of_pigouvian_taxes,0.2829451239974376,0.2829451239974376,Content Position
step2_conclusion_and_summary_x_land_and_water_resource_use,-0.265750823266874,0.265750823266874,Position Interactions
step2_concession_and_contrast_x_international_policy_precedents,-0.260595809480264,0.260595809480264,Position Interactions
content_land_and_water_resource_use_then_public_health_outcomes_s1s2,0.25470587000341494,0.25470587000341494,Content Chains (len-2)
content_alternative_protein_innovation_then_greenhouse_gas_emissions_s2s3,-0.25285656773407456,0.25285656773407456,Content Chains (len-2)
step3_conditional_x_effectiveness_of_pigouvian_taxes,0.24082566157899143,0.24082566157899143,Position Interactions
struct_causal_reasoning_then_sequence_and_transition_s1s2,0.2399132924858432,0.2399132924858432,Structure Chains (len-2)
content_effectiveness_of_pigouvian_taxes_then_land_and_water_resource_use_s2s3,0.2361311172681448,0.2361311172681448,Content Chains (len-2)
content_effectiveness_of_pigouvian_taxes_then_effectiveness_of_pigouvian_taxes_s2s3,-0.22397485108610832,0.22397485108610832,Content Chains (len-2)
step1_effectiveness_of_pigouvian_taxes,0.22057501811179753,0.22057501811179753,Content Position
struct_causal_reasoning_then_addition_and_elaboration_s1s2,0.21204036184126887,0.21204036184126887,Structure Chains (len-2)
step2_animal_welfare_ethics,-0.21117917183232338,0.21117917183232338,Content Position
struct_conclusion_and_summary_then_sequence_and_transition_s2s3,0.20338614625374893,0.20338614625374893,Structure Chains (len-2)
step3_emphasis_and_evaluation_x_effectiveness_of_pigouvian_taxes,0.2006527301276891,0.2006527301276891,Position Interactions
content_public_health_outcomes_then_public_health_outcomes_s2s3,-0.19752184266304335,0.19752184266304335,Content Chains (len-2)
content_land_and_water_resource_use_then_land_and_water_resource_use_s2s3,0.19625845647105872,0.19625845647105872,Content Chains (len-2)
content_land_and_water_resource_use_then_agricultural_subsidy_reform_s1s2,0.19522457275084046,0.19522457275084046,Content Chains (len-2)
content_international_policy_precedents_then_land_and_water_resource_use_s2s3,-0.18468051099458285,0.18468051099458285,Content Chains (len-2)
content_international_policy_precedents_then_agricultural_subsidy_reform_s2s3,0.18155135170893116,0.18155135170893116,Content Chains (len-2)
content_international_policy_precedents_then_healthcare_cost_externalities_s2s3,0.17545267294502295,0.17545267294502295,Content Chains (len-2)
step3_international_policy_precedents,0.16915034724879527,0.16915034724879527,Content Position
step3_evidence_and_authority,0.1675940832613376,0.1675940832613376,Structure Position
step2_concession_and_contrast_x_effectiveness_of_pigouvian_taxes,0.16421543055047388,0.16421543055047388,Position Interactions
step1_causal_reasoning_x_agricultural_subsidy_reform,0.16372404202138527,0.16372404202138527,Position Interactions
content_land_and_water_resource_use_then_agricultural_subsidy_reform_s2s3,0.16307111293429832,0.16307111293429832,Content Chains (len-2)
content_effectiveness_of_pigouvian_taxes_then_land_and_water_resource_use_s1s2,0.1625235345235311,0.1625235345235311,Content Chains (len-2)
struct_emphasis_and_evaluation_then_concession_and_contrast_s2s3,0.1613410920162924,0.1613410920162924,Structure Chains (len-2)
step3_land_and_water_resource_use,-0.15622344044492015,0.15622344044492015,Content Position
content_international_policy_precedents_then_animal_welfare_ethics_s2s3,-0.15274629931468978,0.15274629931468978,Content Chains (len-2)
content_alternative_protein_innovation_then_food_equity_and_access_s2s3,0.15131383065951018,0.15131383065951018,Content Chains (len-2)
