feature,coefficient,abs_coefficient,category
step2_success_of_existing_bans,1.1509967854986811,1.1509967854986811,Content Position
step3_success_of_existing_bans,1.119294043822605,1.119294043822605,Content Position
content_success_of_existing_bans_then_success_of_existing_bans_s2s3,-1.0041467756787827,1.0041467756787827,Content Chains (len-2)
step3_economic_externalities,0.4965166678868744,0.4965166678868744,Content Position
step2_economic_externalities,0.46992186528033175,0.46992186528033175,Content Position
step3_intergenerational_responsibility,-0.4682181486797668,0.4682181486797668,Content Position
content_availability_of_alternatives_then_availability_of_alternatives_s2s3,-0.4401474837856582,0.4401474837856582,Content Chains (len-2)
content_availability_of_alternatives_then_marine_ecosystem_destruction_s2s3,-0.43703788573211133,0.43703788573211133,Content Chains (len-2)
struct_emphasis_and_evaluation_then_conclusion_and_summary_s1s2,0.39881804873521814,0.39881804873521814,Structure Chains (len-2)
step2_exemplification_x_marine_ecosystem_destruction,0.38125941227276555,0.38125941227276555,Position Interactions
argument_length,0.3787582644356289,0.3787582644356289,Other
step1_conditional_x_marine_ecosystem_destruction,-0.3627857420510752,0.3627857420510752,Position Interactions
content_carbon_footprint_and_climate_then_marine_ecosystem_destruction_s2s3,-0.3553771730652736,0.3553771730652736,Content Chains (len-2)
content_recycling_system_failure_then_availability_of_alternatives_s1s2,0.30386014376066056,0.30386014376066056,Content Chains (len-2)
content_marine_ecosystem_destruction_then_carbon_footprint_and_climate_s1s2,-0.29068321589534096,0.29068321589534096,Content Chains (len-2)
step2_microplastics_and_human_health,0.28564908066788525,0.28564908066788525,Content Position
content_microplastics_and_human_health_then_availability_of_alternatives_s2s3,0.281436345376386,0.281436345376386,Content Chains (len-2)
step2_recycling_system_failure,0.27815475160615294,0.27815475160615294,Content Position
content_marine_ecosystem_destruction_then_availability_of_alternatives_s2s3,-0.25643288986679863,0.25643288986679863,Content Chains (len-2)
content_recycling_system_failure_then_marine_ecosystem_destruction_s1s2,-0.2520524362307952,0.2520524362307952,Content Chains (len-2)
step1_causal_reasoning_x_marine_ecosystem_destruction,-0.24688952312206486,0.24688952312206486,Position Interactions
content_recycling_system_failure_then_global_waste_trade_injustice_s1s2,0.24482328575965248,0.24482328575965248,Content Chains (len-2)
content_carbon_footprint_and_climate_then_economic_externalities_s2s3,0.2401492635331529,0.2401492635331529,Content Chains (len-2)
step3_availability_of_alternatives,0.23922989972146277,0.23922989972146277,Content Position
step2_addition_and_elaboration_x_recycling_system_failure,-0.23568947736806967,0.23568947736806967,Position Interactions
step3_microplastics_and_human_health,0.23450339648480195,0.23450339648480195,Content Position
step2_conclusion_and_summary_x_microplastics_and_human_health,0.22984393511202364,0.22984393511202364,Position Interactions
step3_conditional_x_carbon_footprint_and_climate,-0.2213198240667023,0.2213198240667023,Position Interactions
step3_conclusion_and_summary_x_marine_ecosystem_destruction,-0.1904619892574512,0.1904619892574512,Position Interactions
struct_concession_and_contrast_then_causal_reasoning_s1s2,-0.18513176033452192,0.18513176033452192,Structure Chains (len-2)
content_availability_of_alternatives_then_carbon_footprint_and_climate_s1s2,0.18060111895461636,0.18060111895461636,Content Chains (len-2)
step3_causal_reasoning_x_microplastics_and_human_health,0.17882336486080308,0.17882336486080308,Position Interactions
struct_concession_and_contrast_then_addition_and_elaboration_s1s2,0.17860700134061153,0.17860700134061153,Structure Chains (len-2)
content_carbon_footprint_and_climate_then_carbon_footprint_and_climate_s2s3,-0.1756833408859276,0.1756833408859276,Content Chains (len-2)
content_marine_ecosystem_destruction_then_availability_of_alternatives_s1s2,-0.16613348677270043,0.16613348677270043,Content Chains (len-2)
struct_conclusion_and_summary_then_addition_and_elaboration_s2s3,-0.16577340226979792,0.16577340226979792,Structure Chains (len-2)
step2_conditional_x_microplastics_and_human_health,-0.15164451816408747,0.15164451816408747,Position Interactions
content_availability_of_alternatives_then_global_waste_trade_injustice_s2s3,0.15025850257826634,0.15025850257826634,Content Chains (len-2)
content_marine_ecosystem_destruction_then_marine_ecosystem_destruction_s2s3,-0.14966532551321723,0.14966532551321723,Content Chains (len-2)
step2_evidence_and_authority_x_marine_ecosystem_destruction,-0.14844519701047437,0.14844519701047437,Position Interactions
step2_intergenerational_responsibility,-0.14773586990333354,0.14773586990333354,Content Position
content_carbon_footprint_and_climate_then_success_of_existing_bans_s2s3,0.12874637151855464,0.12874637151855464,Content Chains (len-2)
step2_sequence_and_transition_x_availability_of_alternatives,0.12835349399054086,0.12835349399054086,Position Interactions
content_recycling_system_failure_then_economic_externalities_s1s2,0.12522232675033532,0.12522232675033532,Content Chains (len-2)
step2_global_waste_trade_injustice,0.12460910793975231,0.12460910793975231,Content Position
content_recycling_system_failure_then_global_waste_trade_injustice_s2s3,0.12411323445719971,0.12411323445719971,Content Chains (len-2)
step2_causal_reasoning_x_microplastics_and_human_health,0.12334478798709894,0.12334478798709894,Position Interactions
content_economic_externalities_then_corporate_behavior_and_voluntary_failure_s2s3,0.12305921745971177,0.12305921745971177,Content Chains (len-2)
content_marine_ecosystem_destruction_then_microplastics_and_human_health_s2s3,0.12040987040259718,0.12040987040259718,Content Chains (len-2)
step3_global_waste_trade_injustice,0.11755683079189072,0.11755683079189072,Content Position
struct_clarification_and_specification_then_causal_reasoning_s2s3,0.11341103470874753,0.11341103470874753,Structure Chains (len-2)
step3_evidence_and_authority,0.11096536198451243,0.11096536198451243,Structure Position
struct_emphasis_and_evaluation_then_conclusion_and_summary_s2s3,0.10770957092402164,0.10770957092402164,Structure Chains (len-2)
content_recycling_system_failure_then_recycling_system_failure_s2s3,-0.10575126065686197,0.10575126065686197,Content Chains (len-2)
step2_evidence_and_authority,0.10182666553216309,0.10182666553216309,Structure Position
step2_addition_and_elaboration_x_marine_ecosystem_destruction,-0.09994892965274386,0.09994892965274386,Position Interactions
step3_conclusion_and_summary_x_microplastics_and_human_health,0.09954709186439793,0.09954709186439793,Position Interactions
step3_causal_reasoning_x_intergenerational_responsibility,-0.09898827720327492,0.09898827720327492,Position Interactions
struct_conditional_then_emphasis_and_evaluation_s1s2,-0.09675910725218068,0.09675910725218068,Structure Chains (len-2)
content_success_of_existing_bans_then_economic_externalities_s2s3,-0.09341322211532876,0.09341322211532876,Content Chains (len-2)
content_availability_of_alternatives_then_microplastics_and_human_health_s2s3,0.09121278974161076,0.09121278974161076,Content Chains (len-2)
content_success_of_existing_bans_then_carbon_footprint_and_climate_s2s3,0.08909916267272971,0.08909916267272971,Content Chains (len-2)
step3_conditional_x_availability_of_alternatives,0.08845178450389084,0.08845178450389084,Position Interactions
content_carbon_footprint_and_climate_then_recycling_system_failure_s2s3,0.08833654997184405,0.08833654997184405,Content Chains (len-2)
step3_conditional_x_recycling_system_failure,0.08718660803067917,0.08718660803067917,Position Interactions
struct_clarification_and_specification_then_conditional_s2s3,0.08688815677767307,0.08688815677767307,Structure Chains (len-2)
step2_causal_reasoning_x_marine_ecosystem_destruction,0.08426216997398371,0.08426216997398371,Position Interactions
step2_addition_and_elaboration_x_success_of_existing_bans,-0.0840555775863913,0.0840555775863913,Position Interactions
step3_clarification_and_specification_x_global_waste_trade_injustice,0.08139233899846007,0.08139233899846007,Position Interactions
step3_sequence_and_transition,-0.07984866340946677,0.07984866340946677,Structure Position
step3_addition_and_elaboration_x_availability_of_alternatives,0.0739950641795255,0.0739950641795255,Position Interactions
