check_name,pass_rate,n_evaluated,n_passed
step_1_has_structure,0.908,500,454
step_1_has_subtopic,0.308,500,154
step_2_has_structure,0.998,500,499
step_2_has_subtopic,0.55,500,275
step_3_has_structure,1.0,500,500
step_3_has_subtopic,0.636,500,318
final_has_structure_1,0.826,500,413
final_has_subtopic_1,0.326,500,163
final_has_structure_2,0.974,500,487
final_has_subtopic_2,0.568,500,284
final_has_structure_3,0.984,500,492
final_has_subtopic_3,0.678,500,339
final_preserves_order,0.856,500,428
step_structure_avg,0.9687,1500,1453
step_subtopic_avg,0.498,1500,747
final_structure_avg,0.928,1500,1392
final_subtopic_avg,0.524,1500,786
overall_step,0.7333,3000,2200
overall_final,0.7446,3500,2606
overall_all_13,0.7394,6500,4806
step_structure__addition_and_elaboration,1.0,194,194
final_structure__addition_and_elaboration,1.0,194,194
step_structure__causal_reasoning,1.0,368,368
final_structure__causal_reasoning,0.9973,368,367
step_structure__clarification_and_specification,1.0,133,133
final_structure__clarification_and_specification,0.812,133,108
step_structure__concession_and_contrast,0.4773,88,42
final_structure__concession_and_contrast,0.2159,88,19
step_structure__conclusion_and_summary,1.0,303,303
final_structure__conclusion_and_summary,0.9868,303,299
step_structure__conditional,1.0,140,140
final_structure__conditional,1.0,140,140
step_structure__emphasis_and_evaluation,1.0,78,78
final_structure__emphasis_and_evaluation,1.0,78,78
step_structure__evidence_and_authority,0.9918,122,121
final_structure__evidence_and_authority,1.0,122,122
step_structure__exemplification,1.0,30,30
final_structure__exemplification,0.9333,30,28
step_structure__sequence_and_transition,1.0,44,44
final_structure__sequence_and_transition,0.8409,44,37
step_subtopic__cost_benefit_and_impact_analysis,0.1519,79,12
final_subtopic__cost_benefit_and_impact_analysis,0.1392,79,11
step_subtopic__ethical_principles,1.0,112,112
final_subtopic__ethical_principles,1.0,112,112
step_subtopic__feasibility_and_implementation,0.7306,553,404
final_subtopic__feasibility_and_implementation,0.7794,553,431
step_subtopic__governance_and_accountability,0.4324,37,16
final_subtopic__governance_and_accountability,0.4865,37,18
step_subtopic__incentives_and_power_dynamics,0.2667,150,40
final_subtopic__incentives_and_power_dynamics,0.3267,150,49
step_subtopic__justice_and_fairness,0.0266,338,9
final_subtopic__justice_and_fairness,0.0325,338,11
step_subtopic__precedent_and_long_term_effects,0.9739,115,112
final_subtopic__precedent_and_long_term_effects,0.9913,115,114
step_subtopic__rights_and_liberties,0.2258,31,7
final_subtopic__rights_and_liberties,0.2258,31,7
step_subtopic__risk_and_unintended_consequences,0.1667,60,10
final_subtopic__risk_and_unintended_consequences,0.15,60,9
step_subtopic__stakeholder_responsibility,1.0,25,25
final_subtopic__stakeholder_responsibility,0.96,25,24
