check_name,pass_rate,n_evaluated,n_passed
step_1_has_structure,1.0,1000,1000
step_1_has_subtopic,0.449,1000,449
step_2_has_structure,1.0,1000,1000
step_2_has_subtopic,0.942,1000,942
step_3_has_structure,0.996,1000,996
step_3_has_subtopic,0.84,1000,840
final_has_structure_1,0.474,1000,474
final_has_subtopic_1,0.764,1000,764
final_has_structure_2,0.729,1000,729
final_has_subtopic_2,0.981,1000,981
final_has_structure_3,0.811,1000,811
final_has_subtopic_3,0.946,1000,946
final_preserves_order,0.647,1000,647
step_structure_avg,0.9987,3000,2996
step_subtopic_avg,0.7437,3000,2231
final_structure_avg,0.6713,3000,2014
final_subtopic_avg,0.897,3000,2691
overall_step,0.8712,6000,5227
overall_final,0.7646,7000,5352
overall_all_13,0.8138,13000,10579
step_structure__addition_and_elaboration,1.0,391,391
final_structure__addition_and_elaboration,0.9182,391,359
step_structure__causal_reasoning,1.0,200,200
final_structure__causal_reasoning,0.97,200,194
step_structure__clarification_and_specification,1.0,406,406
final_structure__clarification_and_specification,0.7118,406,289
step_structure__concession_and_contrast,0.9385,65,61
final_structure__concession_and_contrast,0.2615,65,17
step_structure__conclusion_and_summary,1.0,532,532
final_structure__conclusion_and_summary,0.8684,532,462
step_structure__conditional,1.0,1032,1032
final_structure__conditional,0.4099,1032,423
step_structure__emphasis_and_evaluation,1.0,117,117
final_structure__emphasis_and_evaluation,0.9744,117,114
step_structure__evidence_and_authority,1.0,52,52
final_structure__evidence_and_authority,0.7308,52,38
step_structure__exemplification,1.0,25,25
final_structure__exemplification,0.76,25,19
step_structure__sequence_and_transition,1.0,180,180
final_structure__sequence_and_transition,0.55,180,99
step_subtopic__availability_of_alternatives,0.9103,769,700
final_subtopic__availability_of_alternatives,0.9636,769,741
step_subtopic__carbon_footprint_and_climate,0.942,276,260
final_subtopic__carbon_footprint_and_climate,0.9819,276,271
step_subtopic__corporate_behavior_and_voluntary_failure,0.8481,79,67
final_subtopic__corporate_behavior_and_voluntary_failure,0.9494,79,75
step_subtopic__economic_externalities,0.9862,218,215
final_subtopic__economic_externalities,1.0,218,218
step_subtopic__global_waste_trade_injustice,0.8077,156,126
final_subtopic__global_waste_trade_injustice,0.9487,156,148
step_subtopic__intergenerational_responsibility,0.75,112,84
final_subtopic__intergenerational_responsibility,0.9196,112,103
step_subtopic__marine_ecosystem_destruction,0.9858,211,208
final_subtopic__marine_ecosystem_destruction,0.9953,211,210
step_subtopic__microplastics_and_human_health,0.8795,224,197
final_subtopic__microplastics_and_human_health,0.9464,224,212
step_subtopic__recycling_system_failure,0.2578,768,198
final_subtopic__recycling_system_failure,0.6875,768,528
step_subtopic__success_of_existing_bans,0.9412,187,176
final_subtopic__success_of_existing_bans,0.9893,187,185
