feature,coefficient,abs_coefficient,category
step1_exemplification_x_feasibility_and_implementation,1.0141831164541684,1.0141831164541684,Position Interactions
step1_evidence_and_authority,0.9360713734375056,0.9360713734375056,Structure Position
step1_exemplification_x_justice_and_fairness,-0.731899788440375,0.731899788440375,Position Interactions
step1_risk_and_unintended_consequences,0.7028835996368338,0.7028835996368338,Content Position
step2_conclusion_and_summary_x_cost_benefit_and_impact_analysis,0.6453403369336911,0.6453403369336911,Position Interactions
step3_ethical_principles,-0.5669831503427926,0.5669831503427926,Content Position
struct_addition_and_elaboration_then_emphasis_and_evaluation_s1s2,0.5660143713734065,0.5660143713734065,Structure Chains (len-2)
argument_length,0.47764413865247396,0.47764413865247396,Other
step2_evidence_and_authority,0.4683898166900215,0.4683898166900215,Structure Position
step3_evidence_and_authority,0.4434124471755968,0.4434124471755968,Structure Position
step2_causal_reasoning_x_rights_and_liberties,-0.43953747015011824,0.43953747015011824,Position Interactions
step3_exemplification,0.4343314878915232,0.4343314878915232,Structure Position
step1_emphasis_and_evaluation,0.43096701857248765,0.43096701857248765,Structure Position
step3_feasibility_and_implementation,0.4090428716636641,0.4090428716636641,Content Position
struct_conditional_then_conditional_s1s2,-0.3870986407582916,0.3870986407582916,Structure Chains (len-2)
step1_causal_reasoning_x_incentives_and_power_dynamics,0.38408297612334824,0.38408297612334824,Position Interactions
struct_conditional_then_concession_and_contrast_s1s2,0.3792253141767004,0.3792253141767004,Structure Chains (len-2)
step1_clarification_and_specification_x_justice_and_fairness,0.3731554318044244,0.3731554318044244,Position Interactions
step2_clarification_and_specification_x_ethical_principles,-0.3593390624136393,0.3593390624136393,Position Interactions
struct_clarification_and_specification_then_conditional_s1s2,0.3576188437917325,0.3576188437917325,Structure Chains (len-2)
step2_sequence_and_transition_x_justice_and_fairness,0.35564086257696226,0.35564086257696226,Position Interactions
struct_addition_and_elaboration_then_conclusion_and_summary_s1s2,-0.35308411164406195,0.35308411164406195,Structure Chains (len-2)
step2_evidence_and_authority_x_feasibility_and_implementation,0.34979760331121706,0.34979760331121706,Position Interactions
struct_addition_and_elaboration_then_causal_reasoning_s1s2,-0.3471701195646633,0.3471701195646633,Structure Chains (len-2)
step1_governance_and_accountability,-0.34691051135703765,0.34691051135703765,Content Position
step2_exemplification,0.34392859713875107,0.34392859713875107,Structure Position
step2_exemplification_x_feasibility_and_implementation,0.33097875823663064,0.33097875823663064,Position Interactions
struct_conditional_then_causal_reasoning_s1s2,-0.32609626333030395,0.32609626333030395,Structure Chains (len-2)
struct_causal_reasoning_then_causal_reasoning_s2s3,-0.31143359921676,0.31143359921676,Structure Chains (len-2)
step2_causal_reasoning_x_cost_benefit_and_impact_analysis,-0.31117045985210307,0.31117045985210307,Position Interactions
struct_causal_reasoning_then_evidence_and_authority_s2s3,0.30141727708914257,0.30141727708914257,Structure Chains (len-2)
content_rights_and_liberties_then_precedent_and_long_term_effects_s2s3,-0.299216194336226,0.299216194336226,Content Chains (len-2)
step2_addition_and_elaboration,0.2975958922140494,0.2975958922140494,Structure Position
step1_emphasis_and_evaluation_x_feasibility_and_implementation,0.29734866835689894,0.29734866835689894,Position Interactions
struct_conclusion_and_summary_then_clarification_and_specification_s2s3,-0.2953842700986194,0.2953842700986194,Structure Chains (len-2)
struct_causal_reasoning_then_clarification_and_specification_s2s3,-0.2897842520177595,0.2897842520177595,Structure Chains (len-2)
struct_emphasis_and_evaluation_then_emphasis_and_evaluation_s2s3,-0.28749900684002083,0.28749900684002083,Structure Chains (len-2)
content_cost_benefit_and_impact_analysis_then_feasibility_and_implementation_s2s3,0.28509349825132446,0.28509349825132446,Content Chains (len-2)
step3_causal_reasoning_x_feasibility_and_implementation,-0.28314728676004797,0.28314728676004797,Position Interactions
step3_exemplification_x_precedent_and_long_term_effects,0.2807745440584685,0.2807745440584685,Position Interactions
struct_emphasis_and_evaluation_then_conditional_s1s2,0.27849318387273736,0.27849318387273736,Structure Chains (len-2)
step3_conclusion_and_summary_x_feasibility_and_implementation,-0.2704444768702747,0.2704444768702747,Position Interactions
content_justice_and_fairness_then_feasibility_and_implementation_s1s2,0.26933276994320754,0.26933276994320754,Content Chains (len-2)
step1_conclusion_and_summary_x_incentives_and_power_dynamics,0.2688950032847996,0.2688950032847996,Position Interactions
struct_clarification_and_specification_then_evidence_and_authority_s1s2,-0.2639438637597061,0.2639438637597061,Structure Chains (len-2)
content_ethical_principles_then_incentives_and_power_dynamics_s2s3,-0.25759339762619715,0.25759339762619715,Content Chains (len-2)
step3_conclusion_and_summary_x_precedent_and_long_term_effects,-0.2574844081628579,0.2574844081628579,Position Interactions
struct_causal_reasoning_then_exemplification_s2s3,0.25025467421331526,0.25025467421331526,Structure Chains (len-2)
struct_conditional_then_conclusion_and_summary_s1s2,-0.2423484359988534,0.2423484359988534,Structure Chains (len-2)
step2_conclusion_and_summary,-0.24071405846741548,0.24071405846741548,Structure Position
struct_conditional_then_conclusion_and_summary_s2s3,-0.23637604384850713,0.23637604384850713,Structure Chains (len-2)
struct_clarification_and_specification_then_exemplification_s1s2,-0.22795516908152538,0.22795516908152538,Structure Chains (len-2)
step3_addition_and_elaboration,0.22569515657816092,0.22569515657816092,Structure Position
content_incentives_and_power_dynamics_then_cost_benefit_and_impact_analysis_s1s2,-0.22282655318960434,0.22282655318960434,Content Chains (len-2)
struct_conclusion_and_summary_then_conclusion_and_summary_s2s3,0.21906158796145261,0.21906158796145261,Structure Chains (len-2)
step2_exemplification_x_precedent_and_long_term_effects,0.21566887188300182,0.21566887188300182,Position Interactions
struct_clarification_and_specification_then_causal_reasoning_s1s2,0.20762957056678355,0.20762957056678355,Structure Chains (len-2)
step3_emphasis_and_evaluation_x_feasibility_and_implementation,0.20724934858783828,0.20724934858783828,Position Interactions
step2_ethical_principles,-0.20681274380078893,0.20681274380078893,Content Position
struct_sequence_and_transition_then_exemplification_s1s2,-0.2036494762463944,0.2036494762463944,Structure Chains (len-2)
step1_emphasis_and_evaluation_x_justice_and_fairness,0.20240772171015967,0.20240772171015967,Position Interactions
struct_addition_and_elaboration_then_exemplification_s1s2,0.2017027109239171,0.2017027109239171,Structure Chains (len-2)
struct_conclusion_and_summary_then_causal_reasoning_s2s3,-0.20165823715723308,0.20165823715723308,Structure Chains (len-2)
step3_addition_and_elaboration_x_cost_benefit_and_impact_analysis,0.20156341207853232,0.20156341207853232,Position Interactions
step1_concession_and_contrast,-0.1997094498407905,0.1997094498407905,Structure Position
step2_addition_and_elaboration_x_precedent_and_long_term_effects,0.1979999259666951,0.1979999259666951,Position Interactions
step1_ethical_principles,-0.1899147819983544,0.1899147819983544,Content Position
step2_conclusion_and_summary_x_precedent_and_long_term_effects,-0.18812689171761543,0.18812689171761543,Position Interactions
struct_addition_and_elaboration_then_evidence_and_authority_s1s2,0.1879976228963798,0.1879976228963798,Structure Chains (len-2)
step2_emphasis_and_evaluation,0.18781439584691512,0.18781439584691512,Structure Position
step3_causal_reasoning_x_ethical_principles,0.18340781119205593,0.18340781119205593,Position Interactions
struct_emphasis_and_evaluation_then_addition_and_elaboration_s2s3,0.17853003172232185,0.17853003172232185,Structure Chains (len-2)
step2_sequence_and_transition_x_incentives_and_power_dynamics,-0.1763439149854023,0.1763439149854023,Position Interactions
struct_clarification_and_specification_then_clarification_and_specification_s2s3,-0.17632453439486828,0.17632453439486828,Structure Chains (len-2)
content_feasibility_and_implementation_then_feasibility_and_implementation_s2s3,-0.17074700223920034,0.17074700223920034,Content Chains (len-2)
step3_causal_reasoning_x_precedent_and_long_term_effects,-0.16939895399958613,0.16939895399958613,Position Interactions
step2_addition_and_elaboration_x_cost_benefit_and_impact_analysis,0.1657413854242623,0.1657413854242623,Position Interactions
step3_governance_and_accountability,-0.16397458755373187,0.16397458755373187,Content Position
step1_clarification_and_specification_x_incentives_and_power_dynamics,-0.16320598194974642,0.16320598194974642,Position Interactions
step3_concession_and_contrast,0.16178709155314025,0.16178709155314025,Structure Position
struct_clarification_and_specification_then_conclusion_and_summary_s1s2,0.16041614434299906,0.16041614434299906,Structure Chains (len-2)
step2_addition_and_elaboration_x_stakeholder_responsibility,-0.1572938217919828,0.1572938217919828,Position Interactions
step3_conclusion_and_summary,-0.15552385589183548,0.15552385589183548,Structure Position
content_incentives_and_power_dynamics_then_feasibility_and_implementation_s1s2,0.15246261070290434,0.15246261070290434,Content Chains (len-2)
step2_concession_and_contrast,0.1509669230770929,0.1509669230770929,Structure Position
content_feasibility_and_implementation_then_cost_benefit_and_impact_analysis_s2s3,0.14989486147501793,0.14989486147501793,Content Chains (len-2)
struct_emphasis_and_evaluation_then_addition_and_elaboration_s1s2,0.14869112728253325,0.14869112728253325,Structure Chains (len-2)
step3_emphasis_and_evaluation,0.14814333839357766,0.14814333839357766,Structure Position
step2_evidence_and_authority_x_cost_benefit_and_impact_analysis,-0.14717588688237854,0.14717588688237854,Position Interactions
step2_exemplification_x_risk_and_unintended_consequences,-0.14708743726428616,0.14708743726428616,Position Interactions
content_justice_and_fairness_then_risk_and_unintended_consequences_s2s3,-0.1469155810681487,0.1469155810681487,Content Chains (len-2)
struct_conditional_then_clarification_and_specification_s2s3,-0.1440539133974547,0.1440539133974547,Structure Chains (len-2)
step1_causal_reasoning_x_ethical_principles,-0.143953441303405,0.143953441303405,Position Interactions
content_feasibility_and_implementation_then_justice_and_fairness_s2s3,-0.13941972336123273,0.13941972336123273,Content Chains (len-2)
