check_name,pass_rate,n_evaluated,n_passed
step_1_has_structure,1.0,1000,1000
step_1_has_subtopic,0.834,1000,834
step_2_has_structure,1.0,1000,1000
step_2_has_subtopic,0.924,1000,924
step_3_has_structure,0.997,1000,997
step_3_has_subtopic,0.833,1000,833
final_has_structure_1,0.369,1000,369
final_has_subtopic_1,0.963,1000,963
final_has_structure_2,0.736,1000,736
final_has_subtopic_2,0.99,1000,990
final_has_structure_3,0.796,1000,796
final_has_subtopic_3,0.967,1000,967
final_preserves_order,0.8,1000,800
step_structure_avg,0.999,3000,2997
step_subtopic_avg,0.8637,3000,2591
final_structure_avg,0.6337,3000,1901
final_subtopic_avg,0.9733,3000,2920
overall_step,0.9313,6000,5588
overall_final,0.803,7000,5621
overall_all_13,0.8622,13000,11209
step_structure__addition_and_elaboration,1.0,385,385
final_structure__addition_and_elaboration,0.9325,385,359
step_structure__causal_reasoning,1.0,232,232
final_structure__causal_reasoning,0.9698,232,225
step_structure__clarification_and_specification,1.0,169,169
final_structure__clarification_and_specification,0.6746,169,114
step_structure__concession_and_contrast,0.9659,88,85
final_structure__concession_and_contrast,0.0909,88,8
step_structure__conclusion_and_summary,1.0,587,587
final_structure__conclusion_and_summary,0.8501,587,499
step_structure__conditional,1.0,1015,1015
final_structure__conditional,0.2916,1015,296
step_structure__emphasis_and_evaluation,1.0,148,148
final_structure__emphasis_and_evaluation,0.9392,148,139
step_structure__evidence_and_authority,1.0,105,105
final_structure__evidence_and_authority,0.8667,105,91
step_structure__exemplification,1.0,33,33
final_structure__exemplification,0.8788,33,29
step_structure__sequence_and_transition,1.0,238,238
final_structure__sequence_and_transition,0.5924,238,141
step_subtopic__availability_of_alternatives,0.899,693,623
final_subtopic__availability_of_alternatives,0.974,693,675
step_subtopic__carbon_footprint_and_climate,0.9668,301,291
final_subtopic__carbon_footprint_and_climate,0.9934,301,299
step_subtopic__corporate_behavior_and_voluntary_failure,0.8273,110,91
final_subtopic__corporate_behavior_and_voluntary_failure,0.9364,110,103
step_subtopic__economic_externalities,0.9765,85,83
final_subtopic__economic_externalities,1.0,85,85
step_subtopic__global_waste_trade_injustice,0.8369,141,118
final_subtopic__global_waste_trade_injustice,0.9929,141,140
step_subtopic__intergenerational_responsibility,0.5652,138,78
final_subtopic__intergenerational_responsibility,0.9638,138,133
step_subtopic__marine_ecosystem_destruction,0.9851,201,198
final_subtopic__marine_ecosystem_destruction,0.99,201,199
step_subtopic__microplastics_and_human_health,0.9013,223,201
final_subtopic__microplastics_and_human_health,0.9955,223,222
step_subtopic__recycling_system_failure,0.7931,894,709
final_subtopic__recycling_system_failure,0.9553,894,854
step_subtopic__success_of_existing_bans,0.9299,214,199
final_subtopic__success_of_existing_bans,0.9813,214,210
