check_name,pass_rate,n_evaluated,n_passed
step_1_has_structure,1.0,1000,1000
step_1_has_subtopic,0.831,1000,831
step_2_has_structure,0.999,1000,999
step_2_has_subtopic,0.949,1000,949
step_3_has_structure,0.993,1000,993
step_3_has_subtopic,0.855,1000,855
final_has_structure_1,0.918,1000,918
final_has_subtopic_1,0.966,1000,966
final_has_structure_2,0.984,1000,984
final_has_subtopic_2,0.957,1000,957
final_has_structure_3,0.984,1000,984
final_has_subtopic_3,0.882,1000,882
final_preserves_order,0.879,1000,879
step_structure_avg,0.9973,3000,2992
step_subtopic_avg,0.8783,3000,2635
final_structure_avg,0.962,3000,2886
final_subtopic_avg,0.935,3000,2805
overall_step,0.9378,6000,5627
overall_final,0.9386,7000,6570
overall_all_13,0.9382,13000,12197
step_structure__addition_and_elaboration,1.0,291,291
final_structure__addition_and_elaboration,0.9966,291,290
step_structure__causal_reasoning,1.0,254,254
final_structure__causal_reasoning,0.9961,254,253
step_structure__clarification_and_specification,1.0,713,713
final_structure__clarification_and_specification,0.892,713,636
step_structure__concession_and_contrast,0.871,62,54
final_structure__concession_and_contrast,0.7581,62,47
step_structure__conclusion_and_summary,1.0,657,657
final_structure__conclusion_and_summary,0.9711,657,638
step_structure__conditional,1.0,717,717
final_structure__conditional,0.9986,717,716
step_structure__emphasis_and_evaluation,1.0,96,96
final_structure__emphasis_and_evaluation,1.0,96,96
step_structure__evidence_and_authority,1.0,35,35
final_structure__evidence_and_authority,1.0,35,35
step_structure__exemplification,1.0,37,37
final_structure__exemplification,1.0,37,37
step_structure__sequence_and_transition,1.0,138,138
final_structure__sequence_and_transition,1.0,138,138
step_subtopic__availability_of_alternatives,0.9288,632,587
final_subtopic__availability_of_alternatives,0.9415,632,595
step_subtopic__carbon_footprint_and_climate,0.9627,322,310
final_subtopic__carbon_footprint_and_climate,0.9627,322,310
step_subtopic__corporate_behavior_and_voluntary_failure,0.9315,73,68
final_subtopic__corporate_behavior_and_voluntary_failure,0.9589,73,70
step_subtopic__economic_externalities,0.9576,118,113
final_subtopic__economic_externalities,0.9746,118,115
step_subtopic__global_waste_trade_injustice,0.9176,170,156
final_subtopic__global_waste_trade_injustice,0.9294,170,158
step_subtopic__intergenerational_responsibility,0.827,237,196
final_subtopic__intergenerational_responsibility,0.8734,237,207
step_subtopic__marine_ecosystem_destruction,0.9885,174,172
final_subtopic__marine_ecosystem_destruction,0.9943,174,173
step_subtopic__microplastics_and_human_health,0.9789,190,186
final_subtopic__microplastics_and_human_health,0.9842,190,187
step_subtopic__recycling_system_failure,0.7533,920,693
final_subtopic__recycling_system_failure,0.9054,920,833
step_subtopic__success_of_existing_bans,0.939,164,154
final_subtopic__success_of_existing_bans,0.9573,164,157
