feature,coefficient,abs_coefficient,category
step1_evidence_and_authority,0.9165766241367592,0.9165766241367592,Structure Position
argument_length,0.7859169221484567,0.7859169221484567,Other
struct_conditional_then_exemplification_s1s2,0.4478023679479399,0.4478023679479399,Structure Chains (len-2)
step1_ethical_principles,-0.3761314762591896,0.3761314762591896,Content Position
struct_addition_and_elaboration_then_exemplification_s2s3,0.3564167741774405,0.3564167741774405,Structure Chains (len-2)
step3_exemplification,0.34725887576376535,0.34725887576376535,Structure Position
content_justice_and_fairness_then_governance_and_accountability_s2s3,0.3199530622381022,0.3199530622381022,Content Chains (len-2)
step3_evidence_and_authority,0.3028022190091674,0.3028022190091674,Structure Position
content_feasibility_and_implementation_then_precedent_and_long_term_effects_s1s2,0.30228845634991947,0.30228845634991947,Content Chains (len-2)
step3_ethical_principles,-0.2945017025817818,0.2945017025817818,Content Position
step3_feasibility_and_implementation,0.29062771820513233,0.29062771820513233,Content Position
struct_addition_and_elaboration_then_concession_and_contrast_s2s3,0.2805677900092538,0.2805677900092538,Structure Chains (len-2)
step2_conditional_x_incentives_and_power_dynamics,-0.26662602734585167,0.26662602734585167,Position Interactions
content_feasibility_and_implementation_then_cost_benefit_and_impact_analysis_s2s3,0.24933780923088533,0.24933780923088533,Content Chains (len-2)
struct_emphasis_and_evaluation_then_conclusion_and_summary_s1s2,0.24402010237520502,0.24402010237520502,Structure Chains (len-2)
struct_conclusion_and_summary_then_sequence_and_transition_s1s2,0.24037294285035934,0.24037294285035934,Structure Chains (len-2)
content_feasibility_and_implementation_then_feasibility_and_implementation_s2s3,-0.23578555133977958,0.23578555133977958,Content Chains (len-2)
struct_conditional_then_evidence_and_authority_s1s2,0.22164271958367052,0.22164271958367052,Structure Chains (len-2)
step3_rights_and_liberties,-0.2184753363734945,0.2184753363734945,Content Position
struct_conditional_then_conclusion_and_summary_s1s2,-0.21660685154061052,0.21660685154061052,Structure Chains (len-2)
step3_addition_and_elaboration_x_governance_and_accountability,-0.21599012614860275,0.21599012614860275,Position Interactions
step3_causal_reasoning_x_governance_and_accountability,-0.2110291357660383,0.2110291357660383,Position Interactions
step2_ethical_principles,-0.20403724083925528,0.20403724083925528,Content Position
content_ethical_principles_then_precedent_and_long_term_effects_s2s3,0.20257369120078808,0.20257369120078808,Content Chains (len-2)
struct_causal_reasoning_then_clarification_and_specification_s2s3,-0.19968313364486642,0.19968313364486642,Structure Chains (len-2)
step3_justice_and_fairness,0.19863532190679434,0.19863532190679434,Content Position
step2_evidence_and_authority,0.19214755601746017,0.19214755601746017,Structure Position
step2_addition_and_elaboration_x_feasibility_and_implementation,-0.18977638722488668,0.18977638722488668,Position Interactions
step1_concession_and_contrast_x_feasibility_and_implementation,-0.18715616830499604,0.18715616830499604,Position Interactions
step2_conditional_x_precedent_and_long_term_effects,-0.18356868535403856,0.18356868535403856,Position Interactions
step2_exemplification_x_ethical_principles,0.17883341560866822,0.17883341560866822,Position Interactions
step2_conclusion_and_summary_x_precedent_and_long_term_effects,-0.17761087643323087,0.17761087643323087,Position Interactions
step2_causal_reasoning_x_precedent_and_long_term_effects,-0.1764818698869476,0.1764818698869476,Position Interactions
struct_clarification_and_specification_then_exemplification_s2s3,-0.17234515171573167,0.17234515171573167,Structure Chains (len-2)
step3_emphasis_and_evaluation_x_feasibility_and_implementation,0.171921220001428,0.171921220001428,Position Interactions
content_cost_benefit_and_impact_analysis_then_feasibility_and_implementation_s2s3,0.1700440991652411,0.1700440991652411,Content Chains (len-2)
step2_sequence_and_transition_x_feasibility_and_implementation,-0.16540000991454684,0.16540000991454684,Position Interactions
step2_feasibility_and_implementation,0.16463054391309703,0.16463054391309703,Content Position
step2_evidence_and_authority_x_cost_benefit_and_impact_analysis,-0.16392324640481393,0.16392324640481393,Position Interactions
step2_justice_and_fairness,0.1636779481731616,0.1636779481731616,Content Position
step3_sequence_and_transition,0.15891045471254775,0.15891045471254775,Structure Position
step3_conclusion_and_summary_x_justice_and_fairness,-0.15613882478840002,0.15613882478840002,Position Interactions
struct_concession_and_contrast_then_sequence_and_transition_s1s2,-0.1558522795658679,0.1558522795658679,Structure Chains (len-2)
step2_addition_and_elaboration_x_risk_and_unintended_consequences,0.1548143629841861,0.1548143629841861,Position Interactions
content_precedent_and_long_term_effects_then_precedent_and_long_term_effects_s2s3,0.15285402375206453,0.15285402375206453,Content Chains (len-2)
struct_conditional_then_conclusion_and_summary_s2s3,-0.1495203181114729,0.1495203181114729,Structure Chains (len-2)
content_justice_and_fairness_then_feasibility_and_implementation_s1s2,0.14948450900856067,0.14948450900856067,Content Chains (len-2)
content_justice_and_fairness_then_stakeholder_responsibility_s1s2,-0.14736304501407968,0.14736304501407968,Content Chains (len-2)
struct_causal_reasoning_then_conclusion_and_summary_s1s2,-0.1468328739452142,0.1468328739452142,Structure Chains (len-2)
step3_stakeholder_responsibility,-0.1463996232323024,0.1463996232323024,Content Position
struct_conclusion_and_summary_then_emphasis_and_evaluation_s1s2,0.14626294369775883,0.14626294369775883,Structure Chains (len-2)
struct_sequence_and_transition_then_concession_and_contrast_s2s3,0.13956755786627745,0.13956755786627745,Structure Chains (len-2)
step2_exemplification_x_feasibility_and_implementation,0.1374804240013724,0.1374804240013724,Position Interactions
step3_addition_and_elaboration,0.13722458570174836,0.13722458570174836,Structure Position
content_risk_and_unintended_consequences_then_feasibility_and_implementation_s1s2,0.13545290466685167,0.13545290466685167,Content Chains (len-2)
step1_conclusion_and_summary,-0.134733061578039,0.134733061578039,Structure Position
step3_concession_and_contrast,0.13365659335541283,0.13365659335541283,Structure Position
step2_evidence_and_authority_x_risk_and_unintended_consequences,0.13286212300814368,0.13286212300814368,Position Interactions
step2_conclusion_and_summary_x_justice_and_fairness,0.1326092853531572,0.1326092853531572,Position Interactions
struct_concession_and_contrast_then_conclusion_and_summary_s1s2,-0.13254464792538795,0.13254464792538795,Structure Chains (len-2)
step2_causal_reasoning_x_cost_benefit_and_impact_analysis,0.13213686475039454,0.13213686475039454,Position Interactions
struct_concession_and_contrast_then_conclusion_and_summary_s2s3,0.1280439020443324,0.1280439020443324,Structure Chains (len-2)
step2_risk_and_unintended_consequences,-0.12671253422454745,0.12671253422454745,Content Position
step3_conclusion_and_summary,-0.1253124638829327,0.1253124638829327,Structure Position
struct_evidence_and_authority_then_conclusion_and_summary_s2s3,-0.12517597500787572,0.12517597500787572,Structure Chains (len-2)
step1_sequence_and_transition_x_feasibility_and_implementation,0.12405262164493262,0.12405262164493262,Position Interactions
content_risk_and_unintended_consequences_then_cost_benefit_and_impact_analysis_s1s2,-0.1227374872546156,0.1227374872546156,Content Chains (len-2)
step2_emphasis_and_evaluation_x_incentives_and_power_dynamics,0.1224398622148111,0.1224398622148111,Position Interactions
step2_emphasis_and_evaluation_x_risk_and_unintended_consequences,-0.12196679692137198,0.12196679692137198,Position Interactions
step3_evidence_and_authority_x_governance_and_accountability,0.120552399742483,0.120552399742483,Position Interactions
step3_causal_reasoning_x_incentives_and_power_dynamics,-0.11643867218507713,0.11643867218507713,Position Interactions
struct_conditional_then_clarification_and_specification_s1s2,0.11488518007347916,0.11488518007347916,Structure Chains (len-2)
step2_addition_and_elaboration_x_cost_benefit_and_impact_analysis,0.10957198227159697,0.10957198227159697,Position Interactions
content_justice_and_fairness_then_precedent_and_long_term_effects_s1s2,-0.10931165616714018,0.10931165616714018,Content Chains (len-2)
step1_causal_reasoning_x_justice_and_fairness,-0.10929903234967286,0.10929903234967286,Position Interactions
struct_causal_reasoning_then_sequence_and_transition_s1s2,0.10710751146736354,0.10710751146736354,Structure Chains (len-2)
step3_conclusion_and_summary_x_precedent_and_long_term_effects,-0.10673277172445124,0.10673277172445124,Position Interactions
struct_evidence_and_authority_then_clarification_and_specification_s2s3,0.1060516041708242,0.1060516041708242,Structure Chains (len-2)
step2_exemplification_x_precedent_and_long_term_effects,0.10558571025201431,0.10558571025201431,Position Interactions
step2_conditional_x_feasibility_and_implementation,-0.10395208220199001,0.10395208220199001,Position Interactions
content_justice_and_fairness_then_ethical_principles_s2s3,-0.10106924157357092,0.10106924157357092,Content Chains (len-2)
struct_conclusion_and_summary_then_clarification_and_specification_s1s2,-0.10058521525671417,0.10058521525671417,Structure Chains (len-2)
