trajectory_rank,predicted_score,actual_score_mean,n_observed,experiment_mode,selection_mode,sample_idx,timestamp,runtime_seconds,final_argument,structure_1,content_1,step_1_reasoning,step_1_action_actual,step_1_internal_reasoning,step_1_prefix,structure_2,content_2,step_2_reasoning,step_2_action_actual,step_2_internal_reasoning,step_2_prefix,structure_3,content_3,step_3_reasoning,step_3_action_actual,step_3_internal_reasoning,step_3_prefix,source,arg_length,arg_id,topic,stance,seed,response_index,num_controller_outputs,step_1_action,step_1_structure,step_1_subtopic,step_1_style,step_1_considerations,step_2_action,step_2_structure,step_2_subtopic,step_2_style,step_2_considerations,step_3_action,step_3_structure,step_3_subtopic,step_3_style,step_3_considerations,step_4_reasoning,step_4_action,step_4_structure,step_4_subtopic,step_4_style,step_4_internal_reasoning,step_4_prefix,step_4_considerations,bt_score,original_bt_score
,,,,,,,20260121_142536,324.69612169265747,"The government should enforce a total ban on single-use plastics because it ensures a fairer distribution of environmental costs, protecting vulnerable communities most harmed by pollution. Such a ban dramatically reduces marine and terrestrial pollution, lowers long-term cleanup expenses, and prevents irreversible damage to ecosystems and wildlife. While concerns about feasibility exist, real-world examples from Rwanda, Canada, and the European Union show that comprehensive bans are achievable with strong policy enforcement and public support. Investing in biodegradable alternatives and reusable systems creates new green jobs and stimulates innovation. A total ban aligns with global climate and sustainability goals, ensuring intergenerational equity. Therefore, the environmental, economic, and social benefits far outweigh the short-term challenges. This decisive action is both necessary and responsible for safeguarding the planet and public health.",,,"Therefore, the government should enforce a total ban on single-use plastics because it leads to a more equitable distribution of environmental costs and protects vulnerable communities disproportionately affected by plastic pollution.",,"I should analyze whether outcomes, processes, and distributions are fair to all parties involved. ",Therefore,,,"Next, banning single-use plastics significantly reduces environmental degradation, lowers cleanup costs, and mitigates harm to marine life and ecosystems, leading to long-term economic and ecological benefits.",,"I should quantify and compare costs, benefits, and real-world impacts across economic, social, and environmental dimensions. ",Next,,,"However, with proper policy frameworks, public education, and investment in sustainable alternatives, a total ban is feasible and enforceable, as demonstrated by successful implementations in countries like Rwanda and Canada.",,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,However,baseline,963,176,The government should enforce a total ban on single-use plastics.,PRO,2013.0,29771.0,4.0,causal_reasoning_justice_and_fairness,causal_reasoning_justice_and_fairness,,,"Selected action 'causal_reasoning_justice_and_fairness' based on relevance score: 0.0097.
This action is ranked #84 out of 100 available actions.",sequence_and_transition_cost_benefit_and_impact_analysis,sequence_and_transition_cost_benefit_and_impact_analysis,,,"Selected action 'sequence_and_transition_cost_benefit_and_impact_analysis' based on relevance score: 0.1276.
This action is ranked #52 out of 100 available actions.",concession_and_contrast_feasibility_and_implementation,concession_and_contrast_feasibility_and_implementation,,,"Selected action 'concession_and_contrast_feasibility_and_implementation' based on relevance score: 0.3586.
This action is ranked #14 out of 100 available actions.",,finish,finish,,,,,Max reasoning steps reached - generating final response,133.3684022826922,5.637551755397814
,,,,,,,20260121_133042,325.4990963935852,"A total ban on single-use plastics is a necessary and achievable step toward environmental protection. Evidence from countries like Canada, Rwanda, and the European Union shows that such bans can be effectively enforced with clear regulations and public engagement. By eliminating these pollutants, we prevent harm to marine life, reduce landfill overflow, and minimize the risk of toxic chemicals entering the food chain and human bodies. Furthermore, the ban drives innovation, pushing companies to invest in reusable and biodegradable materials, which creates new green jobs and strengthens sustainable industries. This policy shift is not only environmentally responsible but also economically forward-thinking. Therefore, the government has both the moral and practical obligation to enforce a comprehensive ban on single-use plastics to secure a healthier planet for future generations.",,,"Evidence shows that many countries have successfully implemented bans on single-use plastics, demonstrating that enforcement is feasible with proper policy design and public support.",,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,Evidence shows that,,,"Moreover, banning single-use plastics reduces pollution in oceans and landfills, protecting ecosystems and safeguarding public health from toxic chemicals that leach into the environment.",,"I should analyze whether outcomes, processes, and distributions are fair to all parties involved. ",Moreover,,,"In other words, a total ban incentivizes innovation in sustainable packaging, empowering businesses to develop eco-friendly alternatives and fostering a greener economy.",,"I should examine what behaviors are encouraged, who holds power, and how interests align or conflict. ",In other words,baseline,892,145,The government should enforce a total ban on single-use plastics.,PRO,2005.0,29556.0,4.0,evidence_and_authority_feasibility_and_implementation,evidence_and_authority_feasibility_and_implementation,,,"Selected action 'evidence_and_authority_feasibility_and_implementation' based on relevance score: 0.1682.
This action is ranked #18 out of 100 available actions.",addition_and_elaboration_justice_and_fairness,addition_and_elaboration_justice_and_fairness,,,"Selected action 'addition_and_elaboration_justice_and_fairness' based on relevance score: 0.0049.
This action is ranked #66 out of 100 available actions.",clarification_and_specification_incentives_and_power_dynamics,clarification_and_specification_incentives_and_power_dynamics,,,"Selected action 'clarification_and_specification_incentives_and_power_dynamics' based on relevance score: 0.0289.
This action is ranked #72 out of 100 available actions.",,finish,finish,,,,,Max reasoning steps reached - generating final response,6.894539255587611,4.468726645090936
,,,,,,,20260121_150633,324.90080070495605,"A government-enforced total ban on single-use plastics is a necessary and achievable step toward environmental sustainability. Countries like Canada, the EU, and Kenya have already implemented such bans with measurable reductions in plastic waste and pollution. By eliminating single-use plastics, governments can protect marine life, reduce landfill overflow, and lower the long-term health risks associated with plastic contamination. Furthermore, such a ban incentivizes innovation in biodegradable and reusable materials, fostering green industries and job creation. It is more effective than voluntary measures or partial restrictions, which often fail to produce systemic change. Ultimately, a total ban reflects a commitment to intergenerational responsibility and environmental justice. Therefore, the government should enforce this ban to safeguard both the planet and public well-being.",,,"Evidence shows that many countries have successfully implemented bans on single-use plastics, demonstrating that enforcement is feasible with proper policy design and public support.",,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,Evidence shows that,,,"In other words, a total ban would reduce plastic pollution in oceans and landfills, leading to long-term environmental benefits and protecting ecosystems and public health.",,"I should analyze whether outcomes, processes, and distributions are fair to all parties involved. ",In other words,,,"In conclusion, a government-enforced ban on single-use plastics promotes sustainable consumption, reduces the burden on waste management systems, and encourages innovation in eco-friendly alternatives.",,"I should examine what behaviors are encouraged, who holds power, and how interests align or conflict. ",In conclusion,baseline,896,148,The government should enforce a total ban on single-use plastics.,PRO,2019.0,29553.0,4.0,evidence_and_authority_feasibility_and_implementation,evidence_and_authority_feasibility_and_implementation,,,"Selected action 'evidence_and_authority_feasibility_and_implementation' based on relevance score: 0.1682.
This action is ranked #18 out of 100 available actions.",clarification_and_specification_justice_and_fairness,clarification_and_specification_justice_and_fairness,,,"Selected action 'clarification_and_specification_justice_and_fairness' based on relevance score: 0.0013.
This action is ranked #85 out of 100 available actions.",conclusion_and_summary_incentives_and_power_dynamics,conclusion_and_summary_incentives_and_power_dynamics,,,"Selected action 'conclusion_and_summary_incentives_and_power_dynamics' based on relevance score: 0.0112.
This action is ranked #89 out of 100 available actions.",,finish,finish,,,,,Max reasoning steps reached - generating final response,5.5163740344210686,4.486660739360466
,,,,,,,20260121_135837,321.4631097316742,"A government-enforced total ban on single-use plastics is a necessary and achievable step toward environmental sustainability. Evidence from countries like Canada, the UK, and members of the EU shows that such bans can be effectively implemented with clear regulations, public education, and industry collaboration. These policies reduce plastic pollution in oceans and landfills, protect wildlife, and lower the long-term health risks associated with microplastics in food and water. Moreover, banning single-use plastics encourages innovation in eco-friendly alternatives, creating green jobs and driving market transformation. By taking decisive action now, governments can ensure a more equitable and sustainable future for all. Therefore, a total ban is not only practical but morally imperative in the face of escalating environmental crises.",,,"Evidence shows that many countries have successfully implemented bans on single-use plastics, demonstrating that enforcement is feasible with proper policy design and public support.",,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,Evidence shows that,,,"Therefore, enforcing a total ban on single-use plastics is not only practical but also essential for protecting ecosystems and public health from long-term environmental degradation.",,"I should analyze whether outcomes, processes, and distributions are fair to all parties involved. ",Therefore,,,"In conclusion, a government-enforced ban on single-use plastics empowers sustainable innovation, reduces pollution, and ensures a healthier planet for future generations.",,"I should examine what behaviors are encouraged, who holds power, and how interests align or conflict. ",In conclusion,baseline,848,118,The government should enforce a total ban on single-use plastics.,PRO,2009.0,29559.0,4.0,evidence_and_authority_feasibility_and_implementation,evidence_and_authority_feasibility_and_implementation,,,"Selected action 'evidence_and_authority_feasibility_and_implementation' based on relevance score: 0.1682.
This action is ranked #18 out of 100 available actions.",causal_reasoning_justice_and_fairness,causal_reasoning_justice_and_fairness,,,"Selected action 'causal_reasoning_justice_and_fairness' based on relevance score: 0.0008.
This action is ranked #92 out of 100 available actions.",conclusion_and_summary_incentives_and_power_dynamics,conclusion_and_summary_incentives_and_power_dynamics,,,"Selected action 'conclusion_and_summary_incentives_and_power_dynamics' based on relevance score: 0.0187.
This action is ranked #78 out of 100 available actions.",,finish,finish,,,,,Max reasoning steps reached - generating final response,3.801187184757151,6.57900353869976
,,,,,,,20260121_142536,324.69612169265747,"A total ban on single-use plastics is a necessary and achievable policy to combat environmental degradation and protect public health. By eliminating these non-biodegradable materials, we can drastically reduce plastic pollution in oceans, rivers, and soil, preventing harm to wildlife and minimizing the risk of microplastics entering the human food chain. Such a ban would also catalyze innovation in sustainable packaging, foster green job creation, and lower long-term waste management costs. Evidence from successful implementations in the EU and various Canadian cities proves that enforcement is feasible with strong public support and infrastructure investment. Transitioning to reusable and biodegradable alternatives is not only environmentally imperative but also economically viable in the long term. Therefore, the government has a responsibility to take decisive action by enforcing a total ban on single-use plastics to ensure a healthier, more sustainable future for all.",,,"Importantly, a total ban on single-use plastics would significantly reduce environmental pollution, protect ecosystems, and safeguard public health by preventing harmful microplastics from entering food chains and water supplies.",,"I should analyze whether outcomes, processes, and distributions are fair to all parties involved. ",Importantly,,,"If the government enforces a total ban, it would drive innovation in sustainable alternatives, stimulate green industries, and create long-term economic benefits by reducing waste management costs and environmental cleanup expenses.",,"I should quantify and compare costs, benefits, and real-world impacts across economic, social, and environmental dimensions. ",If,,,"Moreover, successful bans in other countries and regions—such as the EU and several cities in Canada—demonstrate that such policies are feasible with proper infrastructure, public education, and support for businesses transitioning to reusable or biodegradable materials.",,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,Moreover,baseline,987,180,The government should enforce a total ban on single-use plastics.,PRO,2013.0,29749.0,4.0,emphasis_and_evaluation_justice_and_fairness,emphasis_and_evaluation_justice_and_fairness,,,"Selected action 'emphasis_and_evaluation_justice_and_fairness' based on relevance score: 0.0206.
This action is ranked #64 out of 100 available actions.",conditional_cost_benefit_and_impact_analysis,conditional_cost_benefit_and_impact_analysis,,,"Selected action 'conditional_cost_benefit_and_impact_analysis' based on relevance score: 0.1588.
This action is ranked #43 out of 100 available actions.",addition_and_elaboration_feasibility_and_implementation,addition_and_elaboration_feasibility_and_implementation,,,"Selected action 'addition_and_elaboration_feasibility_and_implementation' based on relevance score: 0.8013.
This action is ranked #3 out of 100 available actions.",,finish,finish,,,,,Max reasoning steps reached - generating final response,2.3585986059966366,5.866234995524892
,,,,,,,20260121_143218,321.48323249816895,"A total ban on single-use plastics is essential for protecting the environment, public health, and future generations. Such a ban would drastically reduce pollution in oceans and landfills, prevent microplastics from entering the food chain, and preserve vulnerable ecosystems. While some may argue about economic disruption, the long-term benefits include innovation in sustainable materials and the creation of green jobs, fostering a resilient circular economy. Real-world examples from Rwanda and the European Union prove that comprehensive bans are not only feasible but also lead to high levels of public acceptance and compliance. By taking decisive action now, governments can set a precedent for global environmental responsibility and ensure a cleaner, safer future for all. Therefore, a total ban on single-use plastics is both necessary and achievable.",,,"Importantly, a total ban on single-use plastics would significantly reduce environmental pollution, protect ecosystems, and safeguard public health by preventing harmful microplastics from entering food chains and water supplies.",,"I should analyze whether outcomes, processes, and distributions are fair to all parties involved. ",Importantly,,,"If the government enforces a total ban, it will drive innovation in sustainable materials and create green jobs in eco-friendly packaging industries, providing long-term economic benefits that outweigh initial transition costs.",,"I should quantify and compare costs, benefits, and real-world impacts across economic, social, and environmental dimensions. ",If,,,"Moreover, successful implementations in countries like Rwanda and the EU demonstrate that comprehensive bans are feasible, enforceable, and lead to widespread public compliance and behavioral change.",,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,Moreover,baseline,864,130,The government should enforce a total ban on single-use plastics.,PRO,2014.0,29726.0,4.0,emphasis_and_evaluation_justice_and_fairness,emphasis_and_evaluation_justice_and_fairness,,,"Selected action 'emphasis_and_evaluation_justice_and_fairness' based on relevance score: 0.0206.
This action is ranked #64 out of 100 available actions.",conditional_cost_benefit_and_impact_analysis,conditional_cost_benefit_and_impact_analysis,,,"Selected action 'conditional_cost_benefit_and_impact_analysis' based on relevance score: 0.1588.
This action is ranked #42 out of 100 available actions.",addition_and_elaboration_feasibility_and_implementation,addition_and_elaboration_feasibility_and_implementation,,,"Selected action 'addition_and_elaboration_feasibility_and_implementation' based on relevance score: 0.8074.
This action is ranked #3 out of 100 available actions.",,finish,finish,,,,,Max reasoning steps reached - generating final response,2.05676212588336,5.822044482741074
,,,,,,,20260121_141202,326.99303007125854,"The government must enforce a total ban on single-use plastics to prevent further environmental degradation, as these materials contribute to 8 million tons of ocean pollution annually and cause the death of over a million marine animals each year. Without strict legislation, industries will continue prioritizing profit over planetary health, leading to irreversible damage to ecosystems and biodiversity. However, real-world examples from Rwanda and Canada demonstrate that nationwide bans are not only feasible but also drive innovation in eco-friendly alternatives. A ban would create a level playing field for sustainable businesses, reduce long-term public health and cleanup costs, and signal a commitment to intergenerational responsibility. Therefore, a total ban is both an urgent environmental necessity and a practical policy solution.",,,"If the government does not enforce a total ban on single-use plastics, the environment will continue to suffer irreversible damage due to pollution, ecosystem collapse, and harm to wildlife.",,"I should identify risks, unintended outcomes, cascading effects, and potential for escalation. ",If,,,"Evidence shows that single-use plastics contribute to 8 million tons of ocean pollution annually, killing over a million marine animals each year, which justifies urgent legislative action.",,"I should quantify and compare costs, benefits, and real-world impacts across economic, social, and environmental dimensions. ",Evidence shows that,,,"Moreover, countries like Rwanda and Canada have successfully implemented nationwide bans, proving that such policies are feasible, enforceable, and lead to innovation in sustainable alternatives.",,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,Moreover,baseline,848,119,The government should enforce a total ban on single-use plastics.,PRO,2011.0,29691.0,4.0,conditional_risk_and_unintended_consequences,conditional_risk_and_unintended_consequences,,,"Selected action 'conditional_risk_and_unintended_consequences' based on relevance score: 0.0443.
This action is ranked #46 out of 100 available actions.",evidence_and_authority_cost_benefit_and_impact_analysis,evidence_and_authority_cost_benefit_and_impact_analysis,,,"Selected action 'evidence_and_authority_cost_benefit_and_impact_analysis' based on relevance score: 0.4714.
This action is ranked #13 out of 100 available actions.",addition_and_elaboration_feasibility_and_implementation,addition_and_elaboration_feasibility_and_implementation,,,"Selected action 'addition_and_elaboration_feasibility_and_implementation' based on relevance score: 0.6156.
This action is ranked #9 out of 100 available actions.",,finish,finish,,,,,Max reasoning steps reached - generating final response,1.9725127063848324,3.977104313719172
,,,,,,,20260121_134450,324.91717648506165,"The government should enforce a total ban on single-use plastics because these materials are a major source of environmental pollution, harming marine life, contaminating ecosystems, and persisting in landfills for centuries. By eliminating single-use plastics, the government can drive innovation in sustainable alternatives such as biodegradable packaging and reusable systems, creating new green industries and jobs. A ban is not only environmentally imperative but also feasible, as demonstrated by countries like Rwanda and Canada, which have successfully implemented similar measures with strong public and private sector cooperation. The long-term benefits—reduced litter, lower cleanup costs, and protection of biodiversity—far outweigh the short-term inconvenience of transitioning away from familiar materials. Moreover, such a ban aligns with global climate and sustainability goals, fulfilling a moral obligation to protect the planet for future generations. Therefore, the government should enforce a total ban on single-use plastics to safeguard public health, protect wildlife, and ensure a cleaner, more sustainable future for all.",,,"If the government enforces a total ban on single-use plastics, it will significantly reduce environmental pollution, particularly in oceans and landfills, where these materials cause long-term ecological damage.",,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,If,,,"In conclusion, a total ban on single-use plastics is a necessary and responsible step for protecting ecosystems, reducing waste, and promoting sustainable alternatives that benefit both current and future populations.",,"I should evaluate historical precedents, long-term vs short-term tradeoffs, and obligations to future generations. ",In conclusion,,,"Therefore, the government should enforce a total ban on single-use plastics to safeguard public health, protect wildlife, and ensure a cleaner, more sustainable future for all.",,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,Therefore,baseline,1147,185,The government should enforce a total ban on single-use plastics.,PRO,2007.0,29652.0,4.0,conditional_feasibility_and_implementation,conditional_feasibility_and_implementation,,,"Selected action 'conditional_feasibility_and_implementation' based on relevance score: 0.1452.
This action is ranked #22 out of 100 available actions.",conclusion_and_summary_precedent_and_long_term_effects,conclusion_and_summary_precedent_and_long_term_effects,,,"Selected action 'conclusion_and_summary_precedent_and_long_term_effects' based on relevance score: 0.0368.
This action is ranked #41 out of 100 available actions.",causal_reasoning_feasibility_and_implementation,causal_reasoning_feasibility_and_implementation,,,"Selected action 'causal_reasoning_feasibility_and_implementation' based on relevance score: 0.5657.
This action is ranked #11 out of 100 available actions.",,finish,finish,,,,,Max reasoning steps reached - generating final response,1.3578131568723957,3.506722319339649
467044.0,2.5302958344802633,,,synthesis_restructured,targeted,4.0,20260206_122715,1.2878823280334473,"A total ban on single-use plastics is a necessary and achievable step to protect our environment and public health. Countries like Canada, Rwanda, and parts of the EU have already successfully implemented such bans, proving that enforcement is feasible with clear policies and public support. These bans drastically reduce plastic pollution in oceans and landfills, saving wildlife from harm and cutting down expensive cleanup efforts. While some may worry about economic disruptions, the long-term benefits—cleaner communities, healthier ecosystems, and reduced waste management costs—far outweigh temporary inconveniences. Governments have a responsibility to act when products endanger the planet, just as they did with leaded gasoline and tobacco. A plastic ban isn’t about restricting freedom—it’s about protecting shared resources for future generations. It’s time we take bold, responsible action to end the plastic crisis.",evidence_and_authority,feasibility_and_implementation,"Evidence shows that bans on single-use plastics are feasible and have worked in multiple countries, proving that enforcement is possible with proper planning and public cooperation.",evidence_and_authority_feasibility_and_implementation,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,Evidence shows that,emphasis_and_evaluation,cost_benefit_and_impact_analysis,"Importantly, banning single-use plastics reduces pollution in oceans, protects wildlife, and lowers long-term cleanup costs—benefits that far outweigh any short-term economic inconveniences.",emphasis_and_evaluation_cost_benefit_and_impact_analysis,"I should quantify and compare costs, benefits, and real-world impacts across economic, social, and environmental dimensions. ",Importantly,evidence_and_authority,governance_and_accountability,Evidence shows that governments already have the legal authority to regulate harmful products—like tobacco or leaded fuel—and a plastic ban is just another necessary step to protect public health and the environment.,evidence_and_authority_governance_and_accountability,"I should consider legal frameworks, accountability mechanisms, democratic principles, and proper authority. ",Evidence shows that,targeted,930,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.304099808472221,
468044.0,2.5689729119899107,,,synthesis_restructured,targeted,3.0,20260206_122715,1.5240027904510498,"The government should enforce a total ban on single-use plastics because the environmental damage they cause—like ocean pollution, harm to marine life, and the accumulation of microplastics—poses a serious threat to ecosystems and human health. Countries like Canada and members of the European Union have already successfully implemented similar bans, proving that enforcement is not only possible but effective with proper planning and public engagement. While some may worry about economic disruption, alternatives like reusable or biodegradable materials are increasingly affordable and accessible, reducing the burden on consumers and businesses. Moreover, governments already possess the legal authority and regulatory frameworks needed to implement and monitor such policies. A ban aligns with democratic values by protecting public health and natural resources for future generations. Ultimately, the long-term benefits of cleaner communities, healthier wildlife, and reduced waste far outweigh the temporary inconvenience of change. This is not just an environmental issue—it’s a moral responsibility we owe to the planet and to each other.",evidence_and_authority,feasibility_and_implementation,"Evidence shows that bans on single-use plastics have been successfully implemented in multiple countries, such as Canada and the EU, demonstrating that enforcement is feasible and effective when supported by public cooperation and infrastructure.",evidence_and_authority_feasibility_and_implementation,I should evaluate whether the proposal can actually be implemented and enforced effectively. ,Evidence shows that,sequence_and_transition,cost_benefit_and_impact_analysis,"Next, the environmental cost of single-use plastics—such as pollution in oceans, harm to wildlife, and long-term microplastic contamination—far outweighs the short-term convenience they provide, making a ban a necessary step toward protecting ecosystems.",sequence_and_transition_cost_benefit_and_impact_analysis,"I should quantify and compare costs, benefits, and real-world impacts across economic, social, and environmental dimensions. ",Next,evidence_and_authority,governance_and_accountability,"Evidence shows that governments already have the legal authority and regulatory tools to enforce such bans, and public support for environmental protection is growing, which strengthens the legitimacy and practicality of such measures.",evidence_and_authority_governance_and_accountability,"I should consider legal frameworks, accountability mechanisms, democratic principles, and proper authority. ",Evidence shows that,targeted,1149,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2033875087780872,
