feature,coefficient,abs_coefficient,category
step3_exemplification,0.7581352593297772,0.7581352593297772,Structure Position
step2_exemplification_x_feasibility_and_implementation,0.5454547250773029,0.5454547250773029,Position Interactions
step3_evidence_and_authority,0.5395697082066494,0.5395697082066494,Structure Position
step3_evidence_and_authority_x_governance_and_accountability,0.5374089108557256,0.5374089108557256,Position Interactions
argument_length,0.4948451619499754,0.4948451619499754,Other
step1_ethical_principles,-0.46867433074674053,0.46867433074674053,Content Position
step2_evidence_and_authority_x_feasibility_and_implementation,0.4581928433737598,0.4581928433737598,Position Interactions
step3_ethical_principles,-0.4506461524160449,0.4506461524160449,Content Position
step1_causal_reasoning_x_ethical_principles,-0.40927213608232804,0.40927213608232804,Position Interactions
step1_evidence_and_authority_x_feasibility_and_implementation,0.3941702562535731,0.3941702562535731,Position Interactions
content_feasibility_and_implementation_then_cost_benefit_and_impact_analysis_s2s3,0.38613512319885895,0.38613512319885895,Content Chains (len-2)
struct_conditional_then_exemplification_s1s2,0.38303453862339565,0.38303453862339565,Structure Chains (len-2)
step1_conditional_x_risk_and_unintended_consequences,0.35168515102324627,0.35168515102324627,Position Interactions
step3_emphasis_and_evaluation_x_feasibility_and_implementation,0.35070622642096283,0.35070622642096283,Position Interactions
step1_evidence_and_authority,0.34721045735928535,0.34721045735928535,Structure Position
step3_stakeholder_responsibility,-0.339363182254191,0.339363182254191,Content Position
struct_emphasis_and_evaluation_then_addition_and_elaboration_s1s2,0.3114273840159613,0.3114273840159613,Structure Chains (len-2)
struct_conditional_then_clarification_and_specification_s1s2,-0.30586430245597535,0.30586430245597535,Structure Chains (len-2)
step3_conclusion_and_summary_x_rights_and_liberties,-0.2945543024336292,0.2945543024336292,Position Interactions
struct_addition_and_elaboration_then_exemplification_s2s3,0.2928429201494832,0.2928429201494832,Structure Chains (len-2)
step1_conditional_x_feasibility_and_implementation,-0.29155684039694413,0.29155684039694413,Position Interactions
step2_ethical_principles,-0.2884355595476713,0.2884355595476713,Content Position
step1_conditional_x_incentives_and_power_dynamics,-0.2802294139074111,0.2802294139074111,Position Interactions
step2_evidence_and_authority_x_governance_and_accountability,0.2785574469336671,0.2785574469336671,Position Interactions
struct_clarification_and_specification_then_addition_and_elaboration_s1s2,-0.27802110048557116,0.27802110048557116,Structure Chains (len-2)
content_cost_benefit_and_impact_analysis_then_feasibility_and_implementation_s2s3,0.2718865164429361,0.2718865164429361,Content Chains (len-2)
content_justice_and_fairness_then_feasibility_and_implementation_s1s2,0.2677181370499655,0.2677181370499655,Content Chains (len-2)
step2_concession_and_contrast_x_feasibility_and_implementation,0.26601871385070114,0.26601871385070114,Position Interactions
step1_causal_reasoning_x_feasibility_and_implementation,0.2656669025862904,0.2656669025862904,Position Interactions
content_incentives_and_power_dynamics_then_risk_and_unintended_consequences_s2s3,0.2654275689530973,0.2654275689530973,Content Chains (len-2)
step2_emphasis_and_evaluation_x_precedent_and_long_term_effects,0.2579858978188076,0.2579858978188076,Position Interactions
step3_evidence_and_authority_x_feasibility_and_implementation,0.23292199835383737,0.23292199835383737,Position Interactions
content_justice_and_fairness_then_precedent_and_long_term_effects_s1s2,-0.23156177014237952,0.23156177014237952,Content Chains (len-2)
step2_rights_and_liberties,-0.22216861601798396,0.22216861601798396,Content Position
struct_conditional_then_evidence_and_authority_s1s2,0.22168463936548605,0.22168463936548605,Structure Chains (len-2)
step1_exemplification_x_justice_and_fairness,-0.21778480251208882,0.21778480251208882,Position Interactions
step2_addition_and_elaboration_x_precedent_and_long_term_effects,0.2150166408284488,0.2150166408284488,Position Interactions
struct_conclusion_and_summary_then_causal_reasoning_s2s3,-0.21105391483580152,0.21105391483580152,Structure Chains (len-2)
struct_addition_and_elaboration_then_clarification_and_specification_s2s3,-0.21062078870533282,0.21062078870533282,Structure Chains (len-2)
content_ethical_principles_then_precedent_and_long_term_effects_s2s3,0.20726132921351773,0.20726132921351773,Content Chains (len-2)
content_justice_and_fairness_then_feasibility_and_implementation_s2s3,0.20424963496235482,0.20424963496235482,Content Chains (len-2)
step1_clarification_and_specification_x_feasibility_and_implementation,-0.2033941429782016,0.2033941429782016,Position Interactions
step3_sequence_and_transition_x_precedent_and_long_term_effects,0.20226582306457908,0.20226582306457908,Position Interactions
content_precedent_and_long_term_effects_then_feasibility_and_implementation_s2s3,0.19877017256803997,0.19877017256803997,Content Chains (len-2)
step2_causal_reasoning_x_feasibility_and_implementation,-0.19835209466505585,0.19835209466505585,Position Interactions
content_feasibility_and_implementation_then_cost_benefit_and_impact_analysis_s1s2,0.1907334699442111,0.1907334699442111,Content Chains (len-2)
step2_clarification_and_specification_x_feasibility_and_implementation,0.1902537972395013,0.1902537972395013,Position Interactions
struct_causal_reasoning_then_evidence_and_authority_s1s2,-0.1898757931711662,0.1898757931711662,Structure Chains (len-2)
step2_evidence_and_authority,0.18965642816417058,0.18965642816417058,Structure Position
step3_conditional_x_incentives_and_power_dynamics,0.1847989534655623,0.1847989534655623,Position Interactions
step3_sequence_and_transition,0.17845709902116866,0.17845709902116866,Structure Position
step2_causal_reasoning_x_incentives_and_power_dynamics,-0.17565791545192783,0.17565791545192783,Position Interactions
struct_clarification_and_specification_then_conclusion_and_summary_s1s2,-0.17501841881827365,0.17501841881827365,Structure Chains (len-2)
struct_conditional_then_sequence_and_transition_s1s2,-0.17287700853351598,0.17287700853351598,Structure Chains (len-2)
struct_conditional_then_conditional_s1s2,-0.16635709041749763,0.16635709041749763,Structure Chains (len-2)
step2_sequence_and_transition_x_feasibility_and_implementation,-0.16464836927502194,0.16464836927502194,Position Interactions
step1_exemplification,-0.16170754145573402,0.16170754145573402,Structure Position
struct_conditional_then_concession_and_contrast_s1s2,0.15969900930638323,0.15969900930638323,Structure Chains (len-2)
step3_causal_reasoning_x_precedent_and_long_term_effects,-0.15146308610882586,0.15146308610882586,Position Interactions
struct_addition_and_elaboration_then_sequence_and_transition_s2s3,-0.15049469675285088,0.15049469675285088,Structure Chains (len-2)
content_precedent_and_long_term_effects_then_precedent_and_long_term_effects_s2s3,-0.149248777334624,0.149248777334624,Content Chains (len-2)
step3_causal_reasoning_x_stakeholder_responsibility,-0.14433614026792435,0.14433614026792435,Position Interactions
step3_feasibility_and_implementation,0.1412019769917942,0.1412019769917942,Content Position
struct_causal_reasoning_then_evidence_and_authority_s2s3,-0.14085956786079595,0.14085956786079595,Structure Chains (len-2)
struct_conditional_then_addition_and_elaboration_s1s2,-0.1378441362816162,0.1378441362816162,Structure Chains (len-2)
step2_conclusion_and_summary,-0.1334271989994423,0.1334271989994423,Structure Position
content_incentives_and_power_dynamics_then_cost_benefit_and_impact_analysis_s1s2,0.13110542448915563,0.13110542448915563,Content Chains (len-2)
step2_exemplification_x_justice_and_fairness,-0.1290322231173623,0.1290322231173623,Position Interactions
content_incentives_and_power_dynamics_then_feasibility_and_implementation_s2s3,0.1288905287359491,0.1288905287359491,Content Chains (len-2)
step1_clarification_and_specification,-0.12587760229992345,0.12587760229992345,Structure Position
content_feasibility_and_implementation_then_risk_and_unintended_consequences_s1s2,-0.12405189616651749,0.12405189616651749,Content Chains (len-2)
step2_conditional_x_justice_and_fairness,0.12329402045437396,0.12329402045437396,Position Interactions
struct_conditional_then_addition_and_elaboration_s2s3,0.12087790438671678,0.12087790438671678,Structure Chains (len-2)
struct_conditional_then_concession_and_contrast_s2s3,0.12062225564949536,0.12062225564949536,Structure Chains (len-2)
step3_clarification_and_specification_x_governance_and_accountability,-0.11988302696697421,0.11988302696697421,Position Interactions
step2_evidence_and_authority_x_incentives_and_power_dynamics,0.11460128584408143,0.11460128584408143,Position Interactions
content_ethical_principles_then_risk_and_unintended_consequences_s1s2,-0.10939613961364214,0.10939613961364214,Content Chains (len-2)
step3_causal_reasoning_x_feasibility_and_implementation,-0.10558056049253692,0.10558056049253692,Position Interactions
content_feasibility_and_implementation_then_governance_and_accountability_s2s3,-0.10419124942168932,0.10419124942168932,Content Chains (len-2)
content_feasibility_and_implementation_then_precedent_and_long_term_effects_s2s3,0.10230248935785567,0.10230248935785567,Content Chains (len-2)
step3_addition_and_elaboration_x_precedent_and_long_term_effects,0.10201757302322563,0.10201757302322563,Position Interactions
content_ethical_principles_then_feasibility_and_implementation_s2s3,-0.10161387335470597,0.10161387335470597,Content Chains (len-2)
content_justice_and_fairness_then_ethical_principles_s2s3,-0.09829046686701468,0.09829046686701468,Content Chains (len-2)
struct_exemplification_then_emphasis_and_evaluation_s1s2,0.09531906101911279,0.09531906101911279,Structure Chains (len-2)
step2_conditional_x_precedent_and_long_term_effects,-0.09513132378975538,0.09513132378975538,Position Interactions
struct_clarification_and_specification_then_causal_reasoning_s2s3,-0.09329658373993523,0.09329658373993523,Structure Chains (len-2)
content_rights_and_liberties_then_feasibility_and_implementation_s2s3,-0.09246810914763719,0.09246810914763719,Content Chains (len-2)
step2_addition_and_elaboration_x_justice_and_fairness,0.08973858258345582,0.08973858258345582,Position Interactions
step1_feasibility_and_implementation,0.08940379886531609,0.08940379886531609,Content Position
step2_sequence_and_transition_x_cost_benefit_and_impact_analysis,0.08858299486231047,0.08858299486231047,Position Interactions
step3_emphasis_and_evaluation_x_cost_benefit_and_impact_analysis,0.0874892349455607,0.0874892349455607,Position Interactions
struct_emphasis_and_evaluation_then_causal_reasoning_s1s2,-0.08582570368384981,0.08582570368384981,Structure Chains (len-2)
content_feasibility_and_implementation_then_risk_and_unintended_consequences_s2s3,0.085669771440726,0.085669771440726,Content Chains (len-2)
content_justice_and_fairness_then_justice_and_fairness_s2s3,0.08529922078591252,0.08529922078591252,Content Chains (len-2)
step3_conclusion_and_summary_x_ethical_principles,0.0849780673203496,0.0849780673203496,Position Interactions
content_incentives_and_power_dynamics_then_feasibility_and_implementation_s1s2,-0.0843805053962428,0.0843805053962428,Content Chains (len-2)
step2_conditional_x_feasibility_and_implementation,-0.08364946489885165,0.08364946489885165,Position Interactions
step1_conditional,-0.0811277406214188,0.0811277406214188,Structure Position
content_feasibility_and_implementation_then_ethical_principles_s1s2,-0.08052233489889457,0.08052233489889457,Content Chains (len-2)
struct_clarification_and_specification_then_conditional_s1s2,-0.07925413265174984,0.07925413265174984,Structure Chains (len-2)
content_feasibility_and_implementation_then_incentives_and_power_dynamics_s2s3,0.07625251707064797,0.07625251707064797,Content Chains (len-2)
content_incentives_and_power_dynamics_then_ethical_principles_s2s3,-0.07536793519360639,0.07536793519360639,Content Chains (len-2)
step2_conclusion_and_summary_x_feasibility_and_implementation,0.0684629449472279,0.0684629449472279,Position Interactions
struct_emphasis_and_evaluation_then_concession_and_contrast_s2s3,0.06785699163396222,0.06785699163396222,Structure Chains (len-2)
step2_sequence_and_transition,0.0672115045841323,0.0672115045841323,Structure Position
step3_conditional_x_precedent_and_long_term_effects,-0.06705819478502553,0.06705819478502553,Position Interactions
content_precedent_and_long_term_effects_then_governance_and_accountability_s2s3,0.06702151051511183,0.06702151051511183,Content Chains (len-2)
step2_incentives_and_power_dynamics,-0.06626353262415993,0.06626353262415993,Content Position
content_risk_and_unintended_consequences_then_feasibility_and_implementation_s1s2,-0.06575399790490102,0.06575399790490102,Content Chains (len-2)
step3_causal_reasoning_x_incentives_and_power_dynamics,-0.06517452862775411,0.06517452862775411,Position Interactions
content_precedent_and_long_term_effects_then_justice_and_fairness_s2s3,-0.06512418731753084,0.06512418731753084,Content Chains (len-2)
step3_conclusion_and_summary,-0.061164032702287284,0.061164032702287284,Structure Position
content_justice_and_fairness_then_stakeholder_responsibility_s2s3,-0.057547049544040545,0.057547049544040545,Content Chains (len-2)
